district,msme_npa_micro_no,msme_npa_micro_amt,msme_npa_small_no,msme_npa_small_amt,msme_npa_medium_no,msme_npa_medium_amt,msme_npa_other_no,msme_npa_other_amt,msme_npa_total_no,msme_npa_total_amt
Araria,9390,74.61,29,24.25,1,0.02,2,0.00,9422,98.88
Arwal,2720,31.25,15,1.26,4,1.29,1,0.04,2740,33.84
Aurangabad,9056,96.45,55,8.93,4,0.02,4,0.20,9119,105.60
Banka,6262,93.15,29,40.73,1,0.01,11,0.06,6303,133.95
Begusarai,9725,132.46,426,9.43,6,0.09,5,0.00,10162,141.98
Bhagalpur,11518,128.80,109,6.20,7,0.09,7,0.23,11641,135.32
Bhojpur,12060,98.37,87,10.61,2,0.06,1,0.01,12150,109.05
Buxar,12017,103.00,83,10.32,3,0.08,5,0.04,12108,113.44
Darbhanga,10670,108.95,169,7.21,8,12.31,12,0.11,10859,128.58
Gaya,18213,280.43,330,25.46,6,0.06,5,0.00,18554,305.95
Gopalganj,8928,70.06,29,1.32,80,0.88,16,0.05,9053,72.31
Jamui,6987,65.70,31,1.82,4,0.57,6,0.05,7028,68.14
Jehanabad,4514,66.43,28,0.87,2,0.07,1,0.00,4545,67.37
Kaimur (Bhabua),7676,75.62,56,9.49,3,0.27,5,0.43,7740,85.81
Katihar,8608,81.25,42,2.41,2,0.01,9,0.11,8661,83.78
Khagaria,4696,45.33,19,1.21,1,0.01,0,0.00,4716,46.55
Kishanganj,7228,44.61,20,1.81,1,0.02,7,0.02,7256,46.46
Lakhisarai,3398,31.25,63,0.65,0,0.00,1,0.00,3462,31.90
Madhepura,10397,69.11,12,2.39,7,0.24,5,0.02,10421,71.76
Madhubani,11483,103.09,88,4.23,1,0.00,6,0.02,11578,107.34
Munger,7506,81.50,254,3.60,3,0.02,7,0.04,7770,85.16
Muzaffarpur,21929,249.42,327,18.67,13,0.40,26,0.28,22295,268.77
Nalanda,13115,167.45,197,11.48,23,5.45,10,0.15,13345,184.53
Nawada,8884,76.13,262,7.34,16,0.59,5,0.08,9167,84.14
Pashchim Champaran,11166,97.36,117,14.47,4,5.34,11,0.17,11298,117.34
Patna,26763,838.59,860,306.12,65,39.85,52,1.84,27740,1186.40
Purbi Champaran,15633,138.16,111,11.39,15,0.21,8,0.91,15767,150.67
Purnia,12527,119.94,73,8.26,0,0.00,13,0.26,12613,128.46
Rohtas,17668,202.48,129,20.33,14,1.85,9,0.06,17820,224.72
Saharsa,7946,70.49,56,3.41,1,0.06,6,0.03,8009,73.99
Samastipur,9828,138.74,127,4.98,1,0.00,22,0.05,9978,143.77
Saran,17729,165.07,168,3.23,3,0.14,33,0.11,17933,168.55
Sheikhpura,2814,30.92,13,1.76,1,0.02,8,0.01,2836,32.71
Sheohar,2876,29.94,5,0.24,0,0.00,1,0.00,2882,30.18
Sitamarhi,10695,94.02,35,1.51,0,0.00,4,0.01,10734,95.54
Siwan,8758,112.51,69,6.34,3,0.02,23,0.27,8853,119.14
Supaul,7621,57.12,36,1.45,0,0.00,2,0.00,7659,58.57
Vaishali,12870,127.57,65,6.06,0,0.00,27,0.64,12962,134.27
