district,kcc_fisheries_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_fisheries_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_fisheries_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1512,66.50,320,66.50,20.54,66.50,46,66.50,320,66.50,20.54,66.50,1558,66.50,320,66.50,20.54,66.50
Arwal,798,2.92,7,2.92,0.85,2.92,24,2.92,7,2.92,0.85,2.92,822,2.92,7,2.92,0.85,2.92
Aurangabad,2630,4.35,47,4.35,1.73,4.35,82,4.35,47,4.35,1.73,4.35,2712,4.35,47,4.35,1.73,4.35
Banka,746,77.66,106,77.66,13.77,77.66,24,77.66,106,77.66,13.77,77.66,770,77.66,106,77.66,13.77,77.66
Begusarai,3950,28.44,224,28.44,5.50,28.44,122,28.44,224,28.44,5.50,28.44,4072,28.44,224,28.44,5.50,28.44
Bhagalpur,1144,37.46,137,37.46,11.61,37.46,36,37.46,137,37.46,11.61,37.46,1180,37.46,137,37.46,11.61,37.46
Bhojpur,2088,2.51,27,2.51,1.25,2.51,64,2.51,27,2.51,1.25,2.51,2152,2.51,27,2.51,1.25,2.51
Buxar,1144,1.19,30,1.19,2.54,1.19,36,1.19,30,1.19,2.54,1.19,1180,1.19,30,1.19,2.54,1.19
Darbhanga,1884,30.28,194,30.28,9.99,30.28,58,30.28,194,30.28,9.99,30.28,1942,30.28,194,30.28,9.99,30.28
Gaya,2860,10.92,64,10.92,2.17,10.92,88,10.92,64,10.92,2.17,10.92,2948,10.92,64,10.92,2.17,10.92
Gopalganj,2052,14.65,192,14.65,9.07,14.65,64,14.65,192,14.65,9.07,14.65,2116,14.65,192,14.65,9.07,14.65
Jamui,614,2.84,25,2.84,3.94,2.84,20,2.84,25,2.84,3.94,2.84,634,2.84,25,2.84,3.94,2.84
Jehanabad,618,25.08,43,25.08,6.74,25.08,20,25.08,43,25.08,6.74,25.08,638,25.08,43,25.08,6.74,25.08
Kaimur (Bhabua),1948,1.39,15,1.39,0.75,1.39,60,1.39,15,1.39,0.75,1.39,2008,1.39,15,1.39,0.75,1.39
Katihar,4106,25.95,770,25.95,18.19,25.95,126,25.95,770,25.95,18.19,25.95,4232,25.95,770,25.95,18.19,25.95
Khagaria,1524,63.74,287,63.74,18.26,63.74,48,63.74,287,63.74,18.26,63.74,1572,63.74,287,63.74,18.26,63.74
Kishanganj,646,186.79,217,186.79,32.58,186.79,20,186.79,217,186.79,32.58,186.79,666,186.79,217,186.79,32.58,186.79
Lakhisarai,708,16.99,24,16.99,3.29,16.99,22,16.99,24,16.99,3.29,16.99,730,16.99,24,16.99,3.29,16.99
Madhepura,936,15.15,78,15.15,8.09,15.15,28,15.15,78,15.15,8.09,15.15,964,15.15,78,15.15,8.09,15.15
Madhubani,3404,63.30,1008,63.30,28.72,63.30,106,63.30,1008,63.30,28.72,63.30,3510,63.30,1008,63.30,28.72,63.30
Munger,1282,7.26,33,7.26,2.50,7.26,40,7.26,33,7.26,2.50,7.26,1322,7.26,33,7.26,2.50,7.26
Muzaffarpur,3432,28.60,309,28.60,8.73,28.60,106,28.60,309,28.60,8.73,28.60,3538,28.60,309,28.60,8.73,28.60
Nalanda,2212,27.02,186,27.02,8.16,27.02,68,27.02,186,27.02,8.16,27.02,2280,27.02,186,27.02,8.16,27.02
Nawada,576,4.04,5,4.04,0.84,4.04,18,4.04,5,4.04,0.84,4.04,594,4.04,5,4.04,0.84,4.04
Pashchim Champaran,2864,11.04,133,11.04,4.51,11.04,88,11.04,133,11.04,4.51,11.04,2952,11.04,133,11.04,4.51,11.04
Patna,1608,38.00,103,38.00,6.21,38.00,50,38.00,103,38.00,6.21,38.00,1658,38.00,103,38.00,6.21,38.00
Purbi Champaran,2652,20.70,200,20.70,7.32,20.70,82,20.70,200,20.70,7.32,20.70,2734,20.70,200,20.70,7.32,20.70
Purnia,2600,59.40,953,59.40,35.56,59.40,80,59.40,953,59.40,35.56,59.40,2680,59.40,953,59.40,35.56,59.40
Rohtas,2108,6.07,24,6.07,1.10,6.07,66,6.07,24,6.07,1.10,6.07,2174,6.07,24,6.07,1.10,6.07
Saharsa,472,204.94,313,204.94,64.40,204.94,14,204.94,313,204.94,64.40,204.94,486,204.94,313,204.94,64.40,204.94
Samastipur,4698,35.18,319,35.18,6.59,35.18,146,35.18,319,35.18,6.59,35.18,4844,35.18,319,35.18,6.59,35.18
Saran,5290,6.38,245,6.38,4.49,6.38,164,6.38,245,6.38,4.49,6.38,5454,6.38,245,6.38,4.49,6.38
Sheikhpura,782,10.67,23,10.67,2.85,10.67,24,10.67,23,10.67,2.85,10.67,806,10.67,23,10.67,2.85,10.67
Sheohar,754,194.86,252,194.86,32.39,194.86,24,194.86,252,194.86,32.39,194.86,778,194.86,252,194.86,32.39,194.86
Sitamarhi,2180,33.36,171,33.36,7.61,33.36,68,33.36,171,33.36,7.61,33.36,2248,33.36,171,33.36,7.61,33.36
Siwan,6088,11.57,159,11.57,2.53,11.57,188,11.57,159,11.57,2.53,11.57,6276,11.57,159,11.57,2.53,11.57
Supaul,658,16.52,70,16.52,10.32,16.52,20,16.52,70,16.52,10.32,16.52,678,16.52,70,16.52,10.32,16.52
Vaishali,6118,4.57,75,4.57,1.19,4.57,190,4.57,75,4.57,1.19,4.57,6308,4.57,75,4.57,1.19,4.57
