district,no_of_rural_branches_in_district,no_of_camps_conducted_during_the_quarter
Araria,65,129
Arwal,41,103
Aurangabad,116,307
Banka,75,105
Begusarai,79,148
Bhagalpur,98,138
Bhojpur,120,361
Buxar,81,231
Darbhanga,49,304
Gaya,179,439
Gopalganj,56,342
Jamui,69,181
Jehanabad,58,142
Kaimur (Bhabua),88,217
Katihar,68,167
Khagaria,39,100
Kishanganj,42,97
Lakhisarai,43,121
Madhepura,25,75
Madhubani,54,319
Munger,57,158
Muzaffarpur,110,380
Nalanda,138,369
Nawada,73,199
Pashchim Champaran,43,254
Patna,183,448
Purbi Champaran,47,427
Purnia,59,140
Rohtas,128,329
Saharsa,31,108
Samastipur,150,379
Saran,80,422
Sheikhpura,24,130
Sheohar,11,78
Sitamarhi,27,133
Siwan,66,331
Supaul,30,88
Vaishali,60,281
