district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_infrastructure_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Araria,2065.11,65.55,65.55,2072.95,65.55,65.55,0.00,65.55,65.55,51.43,65.55,65.55,106.93,65.55,65.55,447.81,65.55,65.55,14.05,65.55,65.55,216.91,65.55,65.55,4975.19,65.55,65.55
Arwal,804.07,32.83,32.83,724.20,32.83,32.83,0.00,32.83,32.83,18.89,32.83,32.83,33.90,32.83,32.83,2.21,32.83,32.83,30.10,32.83,32.83,19.72,32.83,32.83,1633.09,32.83,32.83
Aurangabad,4505.06,44.86,44.86,1962.85,44.86,44.86,0.00,44.86,44.86,97.47,44.86,44.86,118.28,44.86,44.86,261.54,44.86,44.86,7.03,44.86,44.86,120.76,44.86,44.86,7072.99,44.86,44.86
Banka,1708.87,46.80,46.80,1471.25,46.80,46.80,0.00,46.80,46.80,99.28,46.80,46.80,229.93,46.80,46.80,219.13,46.80,46.80,11.19,46.80,46.80,86.54,46.80,46.80,3826.19,46.80,46.80
Begusarai,3550.54,69.45,69.45,3135.65,69.45,69.45,0.00,69.45,69.45,175.23,69.45,69.45,336.39,69.45,69.45,85.36,69.45,69.45,6.77,69.45,69.45,154.91,69.45,69.45,7444.85,69.45,69.45
Bhagalpur,3986.51,49.53,49.53,4064.51,49.53,49.53,0.00,49.53,49.53,158.52,49.53,49.53,330.65,49.53,49.53,283.14,49.53,49.53,8.83,49.53,49.53,247.96,49.53,49.53,9080.12,49.53,49.53
Bhojpur,3803.22,40.79,40.79,3037.38,40.79,40.79,0.00,40.79,40.79,70.92,40.79,40.79,129.38,40.79,40.79,8.96,40.79,40.79,134.45,40.79,40.79,82.55,40.79,40.79,7266.86,40.79,40.79
Buxar,3551.06,30.19,30.19,1513.00,30.19,30.19,0.00,30.19,30.19,45.39,30.19,30.19,87.72,30.19,30.19,17.85,30.19,30.19,3.39,30.19,30.19,104.96,30.19,30.19,5323.37,30.19,30.19
Darbhanga,3614.91,52.99,52.99,3032.57,52.99,52.99,0.00,52.99,52.99,99.25,52.99,52.99,178.50,52.99,52.99,106.46,52.99,52.99,12.47,52.99,52.99,181.15,52.99,52.99,7225.31,52.99,52.99
Gaya,4601.42,61.99,61.99,4422.00,61.99,61.99,0.00,61.99,61.99,104.72,61.99,61.99,187.94,61.99,61.99,408.55,61.99,61.99,28.24,61.99,61.99,214.46,61.99,61.99,9967.33,61.99,61.99
Gopalganj,4121.55,42.52,42.52,1602.46,42.52,42.52,0.00,42.52,42.52,48.40,42.52,42.52,100.74,42.52,42.52,6.55,42.52,42.52,103.97,42.52,42.52,39.92,42.52,42.52,6023.59,42.52,42.52
Jamui,1572.59,40.22,40.22,1195.49,40.22,40.22,0.00,40.22,40.22,56.53,40.22,40.22,131.41,40.22,40.22,8.63,40.22,40.22,55.10,40.22,40.22,109.89,40.22,40.22,3129.64,40.22,40.22
Jehanabad,1260.05,36.85,36.85,1284.99,36.85,36.85,0.00,36.85,36.85,35.61,36.85,36.85,65.03,36.85,36.85,6.03,36.85,36.85,69.91,36.85,36.85,41.81,36.85,36.85,2763.43,36.85,36.85
Kaimur (Bhabua),2833.68,43.06,43.06,1482.82,43.06,43.06,0.00,43.06,43.06,40.98,43.06,43.06,64.03,43.06,43.06,124.41,43.06,43.06,8.37,43.06,43.06,82.74,43.06,43.06,4637.03,43.06,43.06
Katihar,2403.56,55.85,55.85,2768.31,55.85,55.85,0.00,55.85,55.85,136.00,55.85,55.85,148.24,55.85,55.85,95.20,55.85,55.85,111.86,55.85,55.85,386.10,55.85,55.85,6049.27,55.85,55.85
Khagaria,2067.50,40.50,40.50,1338.97,40.50,40.50,0.00,40.50,40.50,37.00,40.50,40.50,66.90,40.50,40.50,32.30,40.50,40.50,7.01,40.50,40.50,70.98,40.50,40.50,3620.66,40.50,40.50
Kishanganj,1343.42,67.13,67.13,1363.51,67.13,67.13,0.00,67.13,67.13,28.64,67.13,67.13,213.01,67.13,67.13,86.56,67.13,67.13,11.07,67.13,67.13,320.05,67.13,67.13,3366.26,67.13,67.13
Lakhisarai,1327.89,37.94,37.94,1068.19,37.94,37.94,0.00,37.94,37.94,4.67,37.94,37.94,44.07,37.94,37.94,40.11,37.94,37.94,1.49,37.94,37.94,50.11,37.94,37.94,2536.53,37.94,37.94
Madhepura,1836.71,40.64,40.64,1476.00,40.64,40.64,0.00,40.64,40.64,88.40,40.64,40.64,223.98,40.64,40.64,166.08,40.64,40.64,28.53,40.64,40.64,240.49,40.64,40.64,4060.19,40.64,40.64
Madhubani,3989.84,41.02,41.02,3015.37,41.02,41.02,0.00,41.02,41.02,196.35,41.02,41.02,235.88,41.02,41.02,14.90,41.02,41.02,186.69,41.02,41.02,69.65,41.02,41.02,7708.68,41.02,41.02
