district,total_pmjdy_accounts_no,pmjdy_accounts_opened_in_2024_25_as_on_31_03_2025_no,zero_balance_a_c_no,deposits_held_in_the_a_c_amt_in_crore,rupay_card_issued_no,rupay_card_activated_no,aadhaar_seeded_no
Araria,1950657,123454,130564,508.04,1380218,351880,1655701
Arwal,410649,38312,34461,196.05,237597,113218,340536
Aurangabad,1606382,86202,145223,710.44,1095565,489652,1337357
Banka,1392106,92066,85793,650.77,619232,189997,1169599
Begusarai,1667273,129404,116990,793.87,886860,264533,1359829
Bhagalpur,1763328,123815,112436,755.88,929309,301331,1491673
Bhojpur,1485724,101662,115695,788.25,848702,349566,1226527
Buxar,1186639,68285,82984,550.35,672928,241718,930715
Darbhanga,1733319,125605,124159,830.19,1336681,453997,1463267
Gaya,2822170,190329,180680,1259.22,1953887,789496,2374598
Gopalganj,1553827,115220,93970,915.73,1155002,426895,1294787
Jamui,1159835,74561,66581,551.94,637389,138780,916390
Jehanabad,559873,46975,44424,264.46,376731,183362,463054
Kaimur (Bhabua),982104,69230,84082,375.47,622465,226418,807466
Katihar,1942711,112964,114728,726.72,1244987,566670,1699185
Khagaria,1115731,69243,84179,382.4,473004,129007,926958
Kishanganj,1274898,71040,70052,372,1013742,298254,1102378
Lakhisarai,639083,39864,47421,297,308513,103276,515081
Madhepura,1145137,61995,58760,359.92,902365,290963,928235
Madhubani,2317541,128306,188222,949.96,1762473,658569,1939333
Munger,649782,53939,43394,348.29,356666,132154,526223
Muzaffarpur,2790435,182611,210179,1217.04,1943651,657918,2401453
Nalanda,1361689,113541,74640,763.35,735580,298433,1110887
Nawada,1404291,91184,95100,571.01,778478,336540,1123845
Pashchim Champaran,2599958,176694,185357,819.48,2075652,739745,2197062
Patna,2730080,191537,243461,1382.97,1745606,652526,2234780
Purbi Champaran,2990417,199019,207308,1073.88,2321154,803086,2460877
Purnia,2125322,124007,122285,627.32,1549889,426947,1796086
Rohtas,1598726,110853,123278,726.77,973643,341470,1294083
Saharsa,1029188,77777,76793,330.29,834250,243630,843402
Samastipur,2609495,178756,158190,1102.33,1665027,594304,2168838
Saran,2642684,160844,168360,1347.25,2025854,727538,2126631
Sheikhpura,354195,30052,19361,182.09,187915,50031,282851
Sheohar,363444,40465,21415,148.15,245935,62945,333018
Sitamarhi,2113095,143012,131707,919.11,1497898,587183,1874677
Siwan,1857382,141190,123652,1134.26,1355221,531868,1543971
Supaul,1317959,111276,82607,474.96,1076862,379887,1096852
Vaishali,1937885,171764,142521,926.05,1381415,514337,1607501
