district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,45475,591.75,57809,737.80,30006,244.83,49,13.87,1172,345.28,104505,1688.70
Arwal,7789,103.64,8309,109.04,3564,32.74,7,15.14,228,15.94,16333,243.76
Aurangabad,27289,524.57,51269,628.54,19559,170.04,61,7.21,1340,542.80,79959,1703.12
Banka,21577,324.61,45600,505.35,24188,184.54,7,0.41,1242,309.62,68426,1139.99
Begusarai,66125,693.41,94336,1039.50,46102,403.99,51,27.08,1708,368.32,162220,2128.31
Bhagalpur,33230,478.01,73105,857.70,33124,292.09,48,13.18,2259,165.48,108642,1514.37
Bhojpur,27639,225.18,133098,1098.07,37155,271.76,44,7.31,862,124.26,161643,1454.82
Buxar,18319,149.67,39695,483.96,16189,138.13,50,9.73,959,136.95,59023,780.31
Darbhanga,55561,525.19,101482,842.41,72600,522.20,120,4.35,2629,242.33,159792,1614.28
Gaya,39259,542.58,315877,2124.07,48497,392.06,38,8.92,4293,349.56,359467,3025.13
Gopalganj,86810,959.26,55989,524.97,39800,392.79,15,0.31,951,35.08,143765,1519.62
Jamui,19739,126.50,31290,367.54,15310,125.54,5,1.62,794,152.11,51828,647.77
Jehanabad,12438,200.52,17466,250.22,4719,54.33,5,0.64,509,50.02,30418,501.40
Kaimur (Bhabua),21033,509.48,37634,457.90,14935,116.96,21,8.82,978,393.87,59666,1370.07
Katihar,48280,610.56,97935,943.73,66480,495.64,44,20.58,1852,244.63,148111,1819.50
Khagaria,28465,194.88,36994,518.28,20270,190.27,32,9.03,982,84.80,66473,806.99
Kishanganj,40572,495.31,49546,700.02,28372,251.24,14,23.08,1597,259.17,91729,1477.58
Lakhisarai,11353,114.74,20995,281.41,9674,86.12,13,0.48,612,135.40,32973,532.03
Madhepura,25543,336.79,58445,489.77,34600,213.34,28,4.57,1467,165.68,85483,996.81
Madhubani,88921,997.89,61007,610.69,29924,367.16,49,4.73,1857,120.34,151834,1733.65
Munger,11854,92.04,22680,311.71,13130,120.27,10,6.44,585,117.90,35129,528.09
Muzaffarpur,115630,1212.97,139417,1288.09,70033,549.94,250,22.69,6301,856.16,261598,3379.91
Nalanda,33257,244.34,50945,718.29,21151,205.87,19,14.69,1252,506.02,85473,1483.34
Nawada,42013,281.27,34495,520.25,14985,138.50,18,0.37,1042,275.93,77568,1077.82
Pashchim Champaran,100295,1052.67,80772,771.36,38699,470.69,45,4.97,1649,409.25,182761,2238.25
Patna,32755,593.05,700526,4343.14,258747,1659.53,440,116.00,7969,6574.09,741690,11626.28
Purbi Champaran,128884,1461.04,152098,1290.32,83066,511.07,53,3.85,7245,701.51,288280,3456.72
Purnia,69500,881.71,71297,889.16,39084,307.03,128,53.09,1681,451.06,142606,2275.02
Rohtas,33421,765.11,51292,703.38,20753,185.43,42,12.16,1793,526.62,86548,2007.27
Saharsa,35727,460.78,29797,304.24,13038,98.68,7,1.69,4187,230.69,69718,997.40
Samastipur,65666,571.11,90963,1090.05,39408,395.14,51,55.63,2751,315.72,159431,2032.51
Saran,61075,698.32,105293,888.96,74800,453.70,10,2.34,3435,267.26,169813,1856.88
Sheikhpura,8967,94.85,11345,125.05,6144,66.45,9,0.67,274,64.37,20595,284.94
Sheohar,13518,143.88,11596,133.36,5298,60.16,6,0.10,617,55.46,25737,332.80
Sitamarhi,52101,559.30,46063,495.95,17968,173.58,94,7.69,3272,176.15,101530,1239.09
Siwan,64067,665.68,331324,1989.66,73540,536.36,115,2.15,2500,233.57,398006,2891.06
Supaul,44544,585.12,35682,388.33,14503,122.75,13,2.14,1992,60.64,82231,1036.23
Vaishali,74832,806.80,731283,3649.35,71678,586.13,48,4.93,5299,275.08,811462,4736.16
