District,Rural,Semi-Urban,Urban,Total
Araria,17,94,5,116
Arwal,14,18,0,32
Aurangabad,39,51,58,148
Banka,37,62,0,99
Begusarai,29,66,108,203
Bhagalpur,35,82,185,302
Bhojpur,26,45,126,197
Buxar,22,22,63,107
Darbhanga,24,36,166,226
Gaya,67,54,216,337
Gopalganj,61,109,0,170
Jamui,16,47,3,66
Jehanabad,13,6,57,76
Kaimur (Bhabua),21,46,0,67
Katihar,37,17,78,132
Khagaria,7,71,3,81
Kishanganj,11,12,56,79
Lakhisarai,7,40,2,49
Madhepura,8,83,0,91
Madhubani,30,162,3,195
Munger,20,11,90,121
Muzaffarpur,69,60,302,431
Nalanda,45,46,102,193
Nawada,4,74,0,78
Pashchim Champaran,39,62,115,216
Patna,93,178,1243,1514
Purbi Champaran,42,84,131,257
Purnia,27,29,129,185
Rohtas,29,30,107,166
Saharsa,9,9,83,101
Samastipur,49,176,4,229
Saran,66,47,141,254
Sheikhpura,6,36,0,42
Sheohar,8,17,4,29
Sitamarhi,23,108,6,137
Siwan,50,41,114,205
Supaul,11,81,0,92
Vaishali,40,61,145,246
