District,SC Disbursement No.,Amt.,Outstanding No.,Amt.,ST Disbursement No.,Amt.,Outstanding No.,Amt.
Araria,12552,198.65,17915,186.49,13829,31.70,3782,27.58
Arwal,1767,30.92,5170,59.59,248,3.22,471,3.57
Aurangabad,15251,217.61,32814,312.21,2156,19.76,3737,21.91
Banka,6192,91.80,12542,102.18,1532,20.52,3312,27.08
Begusarai,19342,332.38,33444,317.96,2437,29.66,4074,26.33
Bhagalpur,13025,268.71,21144,304.55,4024,71.91,4727,81.16
Bhojpur,32515,253.42,62553,285.41,11027,60.02,20250,65.49
Buxar,6578,95.61,13589,121.48,1148,11.89,2133,14.95
Darbhanga,52706,508.78,65464,407.10,90951,123.43,12554,45.23
Gaya,118561,778.84,186953,862.06,33354,168.49,55508,257.85
Gopalganj,22548,177.78,31682,156.61,34808,59.16,7575,30.17
Jamui,9383,147.29,19532,168.93,1380,22.44,3286,28.03
Jehanabad,3029,67.73,6148,75.61,432,5.72,1921,41.57
Kaimur (Bhabua),9347,157.86,18493,183.02,1266,14.62,2083,17.59
Katihar,22196,243.15,18920,214.48,18231,77.46,5052,71.37
Khagaria,6396,117.49,8119,100.90,822,11.44,946,10.73
Kishanganj,13996,160.55,11548,116.64,8496,28.78,2971,25.27
Lakhisarai,4403,71.78,8139,78.86,658,7.10,946,6.46
Madhepura,12053,173.40,18387,178.41,23698,25.14,4622,17.98
Madhubani,26865,253.08,37263,247.81,119083,82.33,7069,28.42
Munger,5428,141.83,12031,158.13,715,18.42,1279,21.76
Muzaffarpur,61307,537.57,89149,569.64,73608,92.79,11052,53.07
Nalanda,13776,230.25,31782,307.92,1003,12.02,2598,17.42
Nawada,10841,137.62,28365,227.38,1062,10.82,2387,14.40
Pashchim Champaran,72959,353.45,41994,346.27,43482,128.03,24295,96.58
Patna,253387,1995.76,336928,1925.02,56344,335.68,78865,285.05
Purbi Champaran,45191,411.83,64211,419.02,38172,98.52,17840,72.98
Purnia,23397,237.09,24185,234.06,26426,78.72,8914,66.40
Rohtas,12512,220.58,25748,260.37,1753,22.28,3294,25.89
Saharsa,11965,147.07,19574,178.22,18914,26.58,2761,22.39
Samastipur,27787,369.21,39957,383.74,3740,41.78,7074,42.60
Saran,49818,456.14,52657,363.12,41794,93.94,9647,45.04
Sheikhpura,2992,50.66,7439,73.06,317,5.10,724,5.34
Sheohar,2899,40.40,5235,39.20,8570,5.73,419,2.52
Sitamarhi,11755,169.40,18883,169.43,16741,25.48,2441,16.20
Siwan,121483,698.29,192974,694.33,83320,250.57,76221,233.55
Supaul,10669,151.31,12697,163.87,34057,42.69,2049,19.41
Vaishali,256791,1301.42,438374,1303.27,134342,432.80,159213,417.11
