district,sc_a_cs,sanctioned_amt,disbursed_amt,st_a_cs,sanctioned_amt,disbursed_amt,women_general_a_cs,sanctioned_amt,disbursed_amt,total_a_cs,sanctioned_amt,disbursed_amt
Araria,18,11.20,9.69,0,11.20,9.69,23,11.20,9.69,41,11.20,9.69
Arwal,0,0.31,0.12,0,0.31,0.12,3,0.31,0.12,3,0.31,0.12
Aurangabad,9,3.50,0.88,0,3.50,0.88,17,3.50,0.88,26,3.50,0.88
Banka,4,2.74,1.76,0,2.74,1.76,10,2.74,1.76,14,2.74,1.76
Begusarai,21,15.68,11.46,0,15.68,11.46,39,15.68,11.46,60,15.68,11.46
Bhagalpur,17,19.29,14.03,0,19.29,14.03,72,19.29,14.03,89,19.29,14.03
Bhojpur,17,8.38,5.15,0,8.38,5.15,25,8.38,5.15,42,8.38,5.15
Buxar,9,4.84,2.01,1,4.84,2.01,15,4.84,2.01,25,4.84,2.01
Darbhanga,29,21.40,7.83,1,21.40,7.83,41,21.40,7.83,71,21.40,7.83
Gaya,25,18.14,8.40,1,18.14,8.40,38,18.14,8.40,64,18.14,8.40
Gopalganj,2,11.55,1.13,2,11.55,1.13,38,11.55,1.13,42,11.55,1.13
Jamui,9,4.07,1.39,1,4.07,1.39,6,4.07,1.39,16,4.07,1.39
Jehanabad,3,1.43,0.76,0,1.43,0.76,3,1.43,0.76,6,1.43,0.76
Kaimur (Bhabua),15,3.94,2.46,1,3.94,2.46,10,3.94,2.46,26,3.94,2.46
Katihar,12,9.76,5.74,4,9.76,5.74,40,9.76,5.74,56,9.76,5.74
Khagaria,12,9.30,5.18,0,9.30,5.18,27,9.30,5.18,39,9.30,5.18
Kishanganj,4,4.04,0.96,1,4.04,0.96,9,4.04,0.96,14,4.04,0.96
Lakhisarai,3,2.07,0.72,0,2.07,0.72,7,2.07,0.72,10,2.07,0.72
Madhepura,8,7.10,3.83,0,7.10,3.83,21,7.10,3.83,29,7.10,3.83
Madhubani,4,7.62,2.09,0,7.62,2.09,41,7.62,2.09,45,7.62,2.09
Munger,4,4.76,3.22,0,4.76,3.22,17,4.76,3.22,21,4.76,3.22
Muzaffarpur,22,35.91,7.24,0,35.91,7.24,107,35.91,7.24,129,35.91,7.24
Nalanda,21,12.89,7.88,0,12.89,7.88,40,12.89,7.88,61,12.89,7.88
Nawada,5,5.17,2.27,1,5.17,2.27,14,5.17,2.27,20,5.17,2.27
Pashchim Champaran,14,9.02,3.91,2,9.02,3.91,30,9.02,3.91,46,9.02,3.91
Patna,91,78.10,32.29,9,78.10,32.29,214,78.10,32.29,314,78.10,32.29
Purbi Champaran,44,31.42,4.54,2,31.42,4.54,57,31.42,4.54,103,31.42,4.54
Purnia,24,22.03,11.12,1,22.03,11.12,57,22.03,11.12,82,22.03,11.12
Rohtas,10,5.28,3.03,1,5.28,3.03,20,5.28,3.03,31,5.28,3.03
Saharsa,6,6.59,3.76,0,6.59,3.76,26,6.59,3.76,32,6.59,3.76
Samastipur,31,23.81,6.12,0,23.81,6.12,48,23.81,6.12,79,23.81,6.12
Saran,17,17.40,4.77,0,17.40,4.77,63,17.40,4.77,80,17.40,4.77
Sheikhpura,4,3.13,1.74,0,3.13,1.74,7,3.13,1.74,11,3.13,1.74
Sheohar,5,2.53,1.01,0,2.53,1.01,8,2.53,1.01,13,2.53,1.01
Sitamarhi,5,12.31,2.12,0,12.31,2.12,34,12.31,2.12,39,12.31,2.12
Siwan,2,10.64,3.86,0,10.64,3.86,48,10.64,3.86,50,10.64,3.86
Supaul,10,9.05,4.67,0,9.05,4.67,17,9.05,4.67,27,9.05,4.67
Vaishali,28,11.14,3.68,0,11.14,3.68,28,11.14,3.68,56,11.14,3.68
