District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,212,6.88,91062,790.24,29,0.96,90,1.98,2,0.15,129,11.30,91524,811.51
Arwal,38,0.39,2898,28.31,11,0.22,31,0.37,0,0.00,16,0.07,2994,29.36
Aurangabad,122,3.07,11648,135.90,35,0.40,90,11.19,7,0.29,84,0.75,11986,151.60
Banka,102,2.00,12813,101.10,24,0.54,81,1.66,1,0.07,22,0.33,13043,105.70
Begusarai,158,2.66,39224,306.36,1198,11.34,109,2.12,2,0.04,91,1.06,40782,323.58
Bhagalpur,208,5.70,40664,429.92,503,3.56,132,4.83,2,0.00,74,14.44,41583,458.45
Bhojpur,152,2.43,36032,187.68,46,1.51,102,5.39,0,0.00,65,11.11,36397,208.12
Buxar,57,2.76,6959,69.34,28,0.62,84,3.64,1,0.00,43,1.03,7172,77.39
Darbhanga,258,6.45,39138,461.29,759,7.17,95,2.99,4,0.12,61,2.75,40315,480.77
Gaya,3722,17.83,87646,556.36,19213,50.52,1682,9.25,384,0.57,203,13.95,112850,648.48
Gopalganj,131,1.92,22062,252.28,93,2.83,114,2.40,3,0.08,63,0.42,22466,259.93
Jamui,264,4.01,13061,121.26,49,0.12,123,1.11,1,0.01,40,0.34,13538,126.85
Jehanabad,6,0.14,4306,49.44,6,0.52,14,0.69,0,0.00,8,0.15,4340,50.94
Kaimur (Bhabua),41,0.88,8003,98.15,23,0.24,41,0.83,1,0.05,33,0.51,8142,100.66
Katihar,1087,16.85,85297,902.37,71,1.09,250,5.35,2,0.01,45,0.40,86752,926.07
Khagaria,70,1.72,9314,89.49,30,0.51,65,0.65,5,0.06,30,0.53,9514,92.96
Kishanganj,684,9.22,116016,1121.28,42,0.39,53,1.90,0,0.00,106,2.64,116901,1135.43
Lakhisarai,21,0.30,2887,25.05,4,0.01,41,0.45,9,0.04,19,0.16,2981,26.01
Madhepura,123,1.95,30812,165.80,59,0.36,71,0.54,0,0.00,72,0.60,31137,169.25
Madhubani,181,3.03,44717,389.72,48,1.66,79,2.86,2,0.06,49,0.91,45076,398.24
Munger,109,2.16,7362,94.83,23,0.51,107,2.69,3,0.02,28,0.69,7632,100.90
Muzaffarpur,718,10.50,95250,674.81,1102,13.99,580,16.96,5,0.05,209,2.37,97864,718.68
Nalanda,184,5.24,11594,139.19,205,3.35,85,3.37,4,0.29,54,1.00,12126,152.44
Nawada,72,1.82,12129,112.89,58,2.21,20,0.37,0,0.00,43,0.30,12322,117.59
Pashchim Champaran,547,16.28,41635,436.15,103,2.38,177,5.35,3,0.00,101,1.14,42566,461.30
Patna,1552,69.69,317616,1697.65,2415,42.17,800,68.70,20,0.92,266,14.80,322669,1893.93
Purbi Champaran,350,9.07,87209,677.06,663,51.68,288,3.06,217,3.71,165,1.68,88892,746.26
Purnia,749,13.10,114240,1156.87,282,4.45,148,7.32,5,0.02,94,9.11,115518,1190.87
Rohtas,135,2.60,15566,181.04,89,1.98,426,10.88,12,0.02,59,0.35,16287,196.87
Saharsa,235,3.22,21387,188.57,37,0.18,76,4.45,1,0.00,16,0.66,21752,197.08
Samastipur,313,5.11,28867,295.24,139,2.86,271,4.24,6,0.06,115,2.05,29711,309.56
Saran,214,3.57,22226,235.34,125,2.05,244,5.74,8,0.05,79,0.98,22896,247.73
Sheikhpura,98,2.95,2633,29.55,50,0.91,93,1.81,3,0.05,27,0.43,2904,35.70
Sheohar,11,0.10,4459,41.61,38,0.36,32,0.39,1,0.00,11,0.21,4552,42.67
Sitamarhi,131,2.72,23522,257.52,144,2.82,281,4.48,0,0.00,51,0.92,24129,268.46
Siwan,1381,7.29,155735,700.88,292,3.20,200,5.62,4,0.04,68,1.42,157680,718.45
Supaul,336,3.79,16768,190.03,82,0.87,77,2.23,1,0.00,31,0.94,17295,197.86
Vaishali,726,5.07,334724,972.27,320,6.97,267,5.92,9,0.08,105,1.79,336151,992.10
