District,"Number of
operative CASA","Number of Aadhaar
seeded CASA","Number of
Authenticated CASA"
Araria,2579575,2110008,1650342
Arwal,710821,610405,495882
Aurangabad,2787612,2352640,1273268
Banka,2001069,1795187,1571681
Begusarai,3322225,2778772,2182748
Bhagalpur,3423663,2901688,2564321
Bhojpur,3220129,2770026,1784390
Buxar,2006525,1702595,1164541
Darbhanga,3461704,2834101,1729700
Gaya,5021296,4362423,2496849
Gopalganj,2797262,2303450,1370880
Jamui,1888121,1517777,1280976
Jehanabad,1129808,953410,639719
Kaimur (Bhabua),1678771,1463542,950741
Katihar,2876580,2194266,1728760
Khagaria,1487050,1199490,1245411
Kishanganj,1713944,1376453,1089248
Lakhisarai,1114746,917103,736511
Madhepura,1866646,1468280,995924
Madhubani,3977337,3336310,1821493
Munger,1534909,1213453,981301
Muzaffarpur,5276720,4362470,2826363
Nalanda,3159786,2555523,1814330
Nawada,2429227,1966760,1382760
Pashchim Champaran,3723902,3078682,1861758
Patna,9449580,7163110,4347985
Purbi Champaran,4797836,3794384,2584973
Purnia,3136732,2477466,1924231
Rohtas,3251761,2712949,1695407
Saharsa,1679273,1324406,837077
Samastipur,4448397,3500330,2839975
Saran,4195062,3309441,2056974
Sheikhpura,740142,600941,421689
Sheohar,574555,537579,406039
Sitamarhi,3137550,2767721,1825409
Siwan,4329801,3694933,1753863
Supaul,2062808,1657347,1058184
Vaishali,4884847,4077681,1942552
