District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,5913,147.56,2511,16.20,42.47,10.98
Arwal,2573,64.15,549,4.59,21.34,7.16
Aurangabad,2145,53.35,779,4.25,36.32,7.97
Banka,3309,82.54,5153,29.33,155.73,35.53
Begusarai,11388,284.48,5796,42.32,50.90,14.88
Bhagalpur,8558,212.87,5663,43.26,66.17,20.32
Bhojpur,7450,186.01,1695,12.01,22.75,6.46
Buxar,5789,144.50,876,3.58,15.13,2.48
Darbhanga,6367,159.96,4922,33.82,77.30,21.14
Gaya,11574,289.10,2945,43.24,25.44,14.96
Gopalganj,4781,119.22,3444,45.61,72.04,38.26
Jamui,3840,95.79,771,9.42,20.08,9.83
Jehanabad,3411,85.18,421,4.17,12.34,4.90
Kaimur (Bhabua),4221,105.36,626,7.40,14.83,7.02
Katihar,8051,201.00,4831,42.26,60.00,21.02
Khagaria,4656,116.18,5747,55.68,123.43,47.93
Kishanganj,4836,120.83,1162,7.14,24.03,5.91
Lakhisarai,4596,114.72,1596,13.91,34.73,12.13
Madhepura,3222,80.28,3438,22.90,106.70,28.53
Madhubani,9060,226.23,3452,22.98,38.10,10.16
Munger,6230,155.47,2597,22.38,41.69,14.40
Muzaffarpur,16326,407.95,10031,88.53,61.44,21.70
Nalanda,7781,194.27,4295,33.02,55.20,17.00
Nawada,4103,102.32,515,6.13,12.55,5.99
Pashchim Champaran,7987,199.47,4699,47.20,58.83,23.66
Patna,25226,630.29,9731,109.64,38.58,17.40
Purbi Champaran,5370,134.00,6122,48.31,114.00,36.05
Purnia,6094,152.04,5436,38.14,89.20,25.09
Rohtas,5109,127.52,2053,15.35,40.18,12.04
Saharsa,1998,49.85,4154,23.53,207.91,47.20
Samastipur,9118,227.72,7246,61.75,79.47,27.12
Saran,12128,302.97,4675,36.92,38.55,12.19
Sheikhpura,2075,51.68,823,6.55,39.66,12.67
Sheohar,1722,42.85,2265,24.37,131.53,56.87
Sitamarhi,5454,136.12,3219,27.73,59.02,20.37
Siwan,6831,170.62,3655,36.75,53.51,21.54
Supaul,2714,67.67,1212,11.45,44.66,16.92
Vaishali,6697,167.21,3610,45.40,53.90,27.15
