district,applications_received,applications_accepted,applications_sanctioned,sanctioned,rejected_returned,rejected_returned,pendency_more_than_15_days
Araria,7104,6444,1497,23.23,73.90,73.90,183
Arwal,1322,1322,359,27.16,65.58,65.58,78
Aurangabad,2920,2799,1202,42.94,44.02,44.02,64
Banka,6867,6867,2042,29.74,69.86,69.86,17
Begusarai,6831,5659,1973,34.86,63.23,63.23,63
Bhagalpur,8191,8191,2166,26.44,69.01,69.01,372
Bhojpur,4768,4757,1065,22.39,75.80,75.80,86
Buxar,6083,6081,1537,25.28,74.12,74.12,37
Darbhanga,6474,6474,1841,28.44,69.34,69.34,144
Gaya,9886,8676,2341,26.98,71.60,71.60,97
Gopalganj,3675,3675,1324,36.03,56.82,56.82,223
Jamui,4457,4347,795,18.29,76.60,76.60,202
Jehanabad,4785,4779,1790,37.46,57.42,57.42,35
Kaimur (Bhabua),3418,3418,1036,30.31,69.69,69.69,0
Katihar,6947,6947,1429,20.57,72.65,72.65,422
Khagaria,5255,5255,1022,19.45,73.78,73.78,170
Kishanganj,5721,5721,1230,21.50,72.80,72.80,263
Lakhisarai,4494,4494,1676,37.29,62.37,62.37,15
Madhepura,6416,6416,2467,38.45,56.31,56.31,225
Madhubani,13929,13900,1479,10.64,83.61,83.61,228
Munger,4506,4506,726,16.11,81.94,81.94,72
Muzaffarpur,13583,13583,3386,24.93,73.28,73.28,184
Nalanda,1648,1648,736,44.66,35.50,35.50,325
Nawada,7348,7295,1895,25.98,69.60,69.60,201
Pashchim Champaran,3342,3342,969,28.99,69.87,69.87,32
Patna,6544,6534,1550,23.72,73.08,73.08,209
Purbi Champaran,5166,5142,1060,20.61,74.27,74.27,255
Purnia,7190,7166,1570,21.91,74.20,74.20,248
Rohtas,9274,9274,1323,14.27,80.29,80.29,413
Saharsa,6852,6852,2193,32.01,67.81,67.81,0
Samastipur,8743,7495,3058,40.80,56.68,56.68,189
Saran,4166,4166,670,16.08,74.48,74.48,185
Sheikhpura,1999,1905,475,24.93,72.65,72.65,40
Sheohar,2605,2571,927,36.06,61.57,61.57,61
Sitamarhi,9825,9751,3398,34.85,62.80,62.80,101
Siwan,2199,2151,487,22.64,68.81,68.81,161
Supaul,1639,1637,442,27.00,71.66,71.66,22
Vaishali,7491,7491,2270,30.30,68.12,68.12,110
