district,agri_npa_crop_loan_no,agri_npa_crop_loan,agri_npa_term_loan_no,agri_npa_term_loan,agri_npa_total_farm_credit_no,agri_npa_total_farm_credit,agri_npa_infrastructure_no,agri_npa_infrastructure,agri_npa_ancillary_no,agri_npa_ancillary,agri_npa_total_no,agri_npa_total
Araria,37440,252.54,16734,62.05,7654,24.61,9,0.30,117,1.60,54300,316.49
Arwal,12073,76.97,3847,19.97,2478,9.26,3,0.13,109,2.29,16032,99.36
Aurangabad,54445,469.31,23073,91.07,16066,42.94,28,2.43,194,8.86,77740,571.67
Banka,41449,231.18,19387,63.17,14736,35.14,36,0.09,106,2.19,60978,296.63
Begusarai,56467,390.74,62677,158.96,14933,50.60,13,0.76,632,7.62,119789,558.08
Bhagalpur,40803,267.39,18870,73.50,12843,36.52,15,0.40,210,5.12,59898,346.41
Bhojpur,40321,305.93,18463,83.61,13935,34.55,15,0.06,186,5.39,58985,394.99
Buxar,44684,393.48,16759,77.26,12440,34.72,28,0.51,171,4.55,61642,475.80
Darbhanga,17066,97.61,27035,85.04,24613,68.80,12,0.32,149,4.70,44262,187.67
Gaya,68437,533.76,45653,158.09,20831,64.32,144,1.21,337,8.97,114571,702.03
Gopalganj,40738,271.35,30715,93.57,25508,66.87,4,0.16,140,3.53,71597,368.61
Jamui,49277,357.04,11354,50.91,7656,25.50,2,0.35,99,1.66,60732,409.96
Jehanabad,17882,143.84,7432,54.46,4253,14.11,10,0.06,110,3.51,25434,201.87
Kaimur (Bhabua),39444,368.68,9481,54.74,5515,24.44,19,0.53,218,33.24,49162,457.19
Katihar,36486,265.71,29153,94.42,24367,63.73,23,0.09,194,4.36,65856,364.58
Khagaria,57843,294.07,29314,97.96,22711,55.25,1,0.01,163,2.48,87321,394.52
Kishanganj,25484,189.57,6804,18.46,4392,12.49,6,0.06,129,1.91,32423,210.00
Lakhisarai,28694,208.56,8355,36.72,5354,15.58,3,0.02,55,0.92,37107,246.22
Madhepura,20602,188.69,27013,73.68,20921,45.40,41,0.66,155,2.34,47811,265.37
Madhubani,27799,173.21,17579,68.28,12627,35.25,32,0.39,199,2.97,45609,244.85
Munger,25989,161.26,10388,37.44,8078,22.46,7,0.06,124,2.67,36508,201.43
Muzaffarpur,66243,407.19,52031,169.86,37233,103.02,36,0.25,502,11.28,118812,588.58
Nalanda,56157,430.34,17166,108.60,11207,50.48,20,1.85,182,7.71,73525,548.50
Nawada,42645,299.57,19345,92.54,12752,30.37,24,1.11,203,15.44,62217,408.66
Pashchim Champaran,43435,323.70,21031,77.16,14269,49.42,6,4.64,125,13.98,64597,419.48
Patna,58149,528.45,143594,431.60,97746,253.45,62,9.10,1303,246.64,203108,1215.79
Purbi Champaran,82274,616.88,33523,107.65,22202,76.54,4,0.05,388,11.63,116189,736.21
Purnia,50578,356.09,26957,87.95,19225,46.67,94,11.67,181,24.07,77810,479.78
Rohtas,63552,666.17,28022,107.33,19954,78.04,80,1.66,405,32.89,92059,808.05
Saharsa,24800,181.68,18590,47.73,15880,31.47,5,0.30,192,5.67,43587,235.38
Samastipur,82515,556.22,24602,113.07,16944,60.76,18,7.67,333,7.23,107468,684.19
Saran,41535,284.25,26249,112.01,20426,64.55,15,0.35,276,5.09,68075,401.70
Sheikhpura,14497,100.57,2959,16.25,2122,7.22,0,0.00,25,0.62,17481,117.44
Sheohar,10898,59.15,5771,15.36,4371,10.04,0,0.00,53,1.04,16722,75.55
Sitamarhi,43544,287.33,12516,61.27,8357,31.28,3,0.12,144,1.98,56207,350.70
Siwan,29285,215.73,30136,87.21,21772,55.90,65,2.34,162,44.48,59648,349.76
Supaul,35187,261.03,15914,46.79,12424,29.18,12,0.31,423,2.89,51536,311.02
Vaishali,56076,362.84,13213,65.22,8918,38.72,11,0.65,406,9.40,69706,438.11
