district,disbursement_no,amt,outstanding_no,amt
Araria,20229,554.67,80459,554.67
Arwal,3541,45.32,12542,45.32
Aurangabad,22968,321.82,67126,321.82
Banka,18418,288.23,57317,288.23
Begusarai,44130,947.59,158358,947.59
Bhagalpur,23173,524.24,105499,524.24
Bhojpur,17079,221.55,52143,221.55
Buxar,14182,212.52,47769,212.52
Darbhanga,68946,985.39,238254,985.39
Gaya,43044,593.62,118047,593.62
Gopalganj,40235,499.02,122433,499.02
Jamui,17620,264.07,43338,264.07
Jehanabad,2286,104.47,20817,104.47
Kaimur (Bhabua),18426,192.46,36412,192.46
Katihar,48822,714.87,149428,714.87
Khagaria,15413,387.50,53721,387.50
Kishanganj,10225,312.99,27867,312.99
Lakhisarai,8839,135.72,31213,135.72
Madhepura,18656,417.36,66680,417.36
Madhubani,32627,796.79,116474,796.79
Munger,10960,205.01,32103,205.01
Muzaffarpur,57433,1479.84,224999,1479.84
Nalanda,18223,284.74,66045,284.74
Nawada,19516,294.76,55797,294.76
Pashchim Champaran,47721,706.49,140996,706.49
Patna,96559,2990.30,494341,2990.30
Purbi Champaran,95049,1116.65,249045,1116.65
Purnia,20744,590.00,89946,590.00
Rohtas,26341,472.38,83085,472.38
Saharsa,9378,374.17,46727,374.17
Samastipur,43830,1016.25,160334,1016.25
Saran,73909,771.31,195169,771.31
Sheikhpura,7097,64.30,15618,64.30
Sheohar,3020,85.34,12529,85.34
Sitamarhi,19016,530.49,61997,530.49
Siwan,36585,548.66,105051,548.66
Supaul,7652,206.79,26448,206.79
Vaishali,35851,840.75,108818,840.75
