District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,501.98,411,391.63,78.02
Arwal,175.37,125,59.56,33.96
Aurangabad,475.32,302,313.57,65.97
Banka,356.28,140,80.3,22.54
Begusarai,759.33,611,716.66,94.38
Bhagalpur,984.26,708,676.48,68.73
Bhojpur,735.53,353,314.89,42.81
Buxar,366.39,426,144.71,39.50
Darbhanga,734.37,504,473.85,64.52
Gaya,1070.83,800,697.59,65.14
Gopalganj,388.05,263,194.6,50.15
Jamui,289.50,152,116.75,40.33
Jehanabad,311.17,180,53.45,17.18
Kaimur (Bhabua),359.08,208,116.35,32.40
Katihar,670.37,395,407.16,60.74
Khagaria,324.24,209,150.96,46.56
Kishanganj,330.19,168,128.69,38.97
Lakhisarai,258.67,96,37.97,14.68
Madhepura,357.43,168,133.36,37.31
Madhubani,730.20,365,234.43,32.10
Munger,397.55,144,66.78,16.80
Muzaffarpur,1352.13,1239,1355.07,100.22
Nalanda,648.14,620,314.35,48.50
Nawada,344.26,409,131.4,38.17
Pashchim Champaran,620.62,540,374.87,60.40
Patna,4759.16,5728,6074.06,127.63
Purbi Champaran,862.20,628,537.05,62.29
Purnia,759.53,713,777.8,102.41
Rohtas,677.20,432,360.81,53.28
Saharsa,319.18,241,270.23,84.66
Samastipur,851.89,721,472.83,55.50
Saran,810.30,347,266.46,32.88
Sheikhpura,167.93,139,53.38,31.79
Sheohar,142.03,36,16.01,11.27
Sitamarhi,486.29,284,211.28,43.45
Siwan,713.00,415,258.47,36.25
Supaul,388.27,274,151.52,39.02
Vaishali,521.76,478,306.95,58.83
