district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,42357,118.54,57809,118.54,136.48,118.54
Arwal,19829,39.06,8309,39.06,41.90,39.06
Aurangabad,34715,114.19,51269,114.19,147.69,114.19
Banka,40286,96.64,45600,96.64,113.19,96.64
Begusarai,57329,118.38,94336,118.38,164.55,118.38
Bhagalpur,69518,94.56,73105,94.56,105.16,94.56
Bhojpur,68582,120.80,133098,120.80,194.07,120.80
Buxar,69340,59.70,39695,59.70,57.25,59.70
Darbhanga,63491,103.04,101482,103.04,159.84,103.04
Gaya,110381,140.15,315877,140.15,286.17,140.15
Gopalganj,49779,82.21,55989,82.21,112.48,82.21
Jamui,33873,85.18,31290,85.18,92.37,85.18
Jehanabad,27000,68.18,17466,68.18,64.69,68.18
Kaimur (Bhabua),40120,79.67,37634,79.67,93.80,79.67
Katihar,61253,118.77,97935,118.77,159.89,118.77
Khagaria,31349,112.55,36994,112.55,118.01,112.55
Kishanganj,35424,150.41,49546,150.41,139.87,150.41
Lakhisarai,23845,73.70,20995,73.70,88.05,73.70
Madhepura,33498,111.49,58445,111.49,174.47,111.49
Madhubani,91337,54.79,61007,54.79,66.79,54.79
Munger,44118,50.99,22680,50.99,51.41,50.99
Muzaffarpur,163371,69.11,139417,69.11,85.34,69.11
Nalanda,68527,76.37,50945,76.37,74.34,76.37
Nawada,35237,119.30,34495,119.30,97.89,119.30
Pashchim Champaran,74445,68.25,80772,68.25,108.50,68.25
Patna,115639,230.23,700526,230.23,605.79,230.23
Purbi Champaran,109129,102.27,152098,102.27,139.37,102.27
Purnia,70523,94.26,71297,94.26,101.10,94.26
Rohtas,55558,99.35,51292,99.35,92.32,99.35
Saharsa,18084,124.84,29797,124.84,164.77,124.84
Samastipur,102608,73.76,90963,73.76,88.65,73.76
Saran,83019,77.40,105293,77.40,126.83,77.40
Sheikhpura,13843,62.44,11345,62.44,81.95,62.44
Sheohar,13656,69.78,11596,69.78,84.92,69.78
Sitamarhi,42813,80.17,46063,80.17,107.59,80.17
Siwan,78695,188.68,331324,188.68,421.02,188.68
Supaul,23389,117.95,35682,117.95,152.56,117.95
Vaishali,107065,275.46,731283,275.46,683.03,275.46
