district,lead_bank,date_of_establishment_of_rseti,land_allotted_by_state_govt_yes_no,mou_for_land_executed_with_the_district_administra_tion_yes,grant_received_from_nird_yes_no,map_approved_by_local_authority_yes_no,constructio_n_started_yes_no,details_of_training_programme_organised_during_financial_yea,no_of_training_programm_es_organised,no_of_persons_trained,since_inception_no_of_training_programm_es_organised,no_of_persons_trained,as_on_31_03_2025_no_of_trainees_settled,no_of_trainees_settled_with_bank_finance,as_on_march_2025_name_of_the_agency_viz_drda_kvic_nabard_etc,amt_of_reimbursement_claim_pending_amt_in_lacs
Araria,STATE BANK OF INDIA,19/02/2010,YES,YES,YES,YES,YES,0,35,8077,279,8077,6470,3668,SRLM,72
Arwal,PUNJAB NATIONAL BANK,12/12/2011,YES,YES,YES,YES,YES,375,35,9493,322,9493,9291,3648,SRLM,75
Aurangabad,PUNJAB NATIONAL BANK,29/02/2012,YES,YES,YES,YES,YES,0,36,10342,352,10342,7499,3417,SRLM,35
Banka,UCO BANK,30/06/2011,YES,YES,YES,YES,YES,298,38,7882,265,7882,4719,1983,SRLM,113
Begusarai,UCO BANK,29/07/2011,YES,YES,YES,YES,YES,376,44,9604,326,9604,6522,3173,SRLM,146
Bhagalpur,UCO BANK,14/03/2011,YES,YES,YES,YES,YES,184,42,8185,267,8185,5157,2065,SRLM,92
Bhojpur,PUNJAB NATIONAL BANK,28/03/2012,YES,YES,YES,YES,YES,106,38,8720,287,8720,6241,2467,SRLM,41
Buxar,PUNJAB NATIONAL BANK,26/12/2012,YES,YES,YES,YES,YES,0,34,8005,294,8005,5607,2289,SRLM,45
Darbhanga,CENTRAL BANK OF INDIA,27/11/2010,YES,YES,YES,YES,YES,8,32,8842,793,8842,6191,2551,SRLM,49
Gaya,PUNJAB NATIONAL BANK,24/03/2010,YES,YES,NO,YES,YES,372,44,13936,492,13936,9592,4422,SRLM,124
Gopalganj,CENTRAL BANK OF INDIA,10/02/2011,YES,YES,YES,YES,YES,10,27,6927,622,6927,4821,1954,SRLM,22
Jamui,STATE BANK OF INDIA,26/03/2011,YES,YES,YES,YES,YES,0,38,8036,288,8036,6261,3760,SRLM,61
Jehanabad,PUNJAB NATIONAL BANK,30/09/2011,YES,YES,YES,YES,YES,480,38,10282,356,10282,7212,3952,SRLM,30
Kaimur (Bhabua),PUNJAB NATIONAL BANK,29/12/2011,YES,YES,YES,YES,YES,0,39,9515,343,9515,6691,2192,SRLM,119
Katihar,CENTRAL BANK OF INDIA,01/10/2011,YES,YES,YES,YES,YES,12,31,7742,811,7742,447,276,,0
Khagaria,UNION BANK OF INDIA,23/03/2009,YES,YES,YES,YES,YES,3,28,9125,298,9125,6098,2216,SRLM,30
Kishanganj,STATE BANK OF INDIA,19/03/2010,YES,YES,YES,YES,YES,26,26,9352,314,9352,7212,4202,SRLM,63
Lakhisarai,PUNJAB NATIONAL BANK,28/09/2010,YES,YES,YES,YES,YES,0,34,9025,332,9025,6146,2144,,0
Madhepura,STATE BANK OF INDIA,27/03/2009,YES,YES,YES,YES,YES,0,38,8233,298,8233,5945,3303,SRLM,81
Madhubani,CENTRAL BANK OF INDIA,29/01/2011,YES,YES,YES,YES,YES,5,31,8249,791,8249,586,262,SRLM,25
Munger,UCO BANK,01/02/2011,YES,YES,YES,YES,YES,104,32,8025,248,8025,4151,2512,SRLM,94
Muzaffarpur,CENTRAL BANK OF INDIA,19/02/2007,YES,YES,YES,YES,YES,75,27,9879,640,9879,7968,3688,SRLM,36
Nalanda,PUNJAB NATIONAL BANK,15/02/2010,YES,YES,YES,YES,NO,10,35,11342,397,11342,7784,3572,,0
Nawada,PUNJAB NATIONAL BANK,28/03/2010,YES,YES,YES,YES,YES,0,32,10404,375,10404,7874,3612,SRLM,65
Pashchim Champaran,CENTRAL BANK OF INDIA,27/01/2011,YES,YES,YES,YES,YES,20,29,8705,630,8705,308,166,SRLM,52
Patna,PUNJAB NATIONAL BANK,15/01/2007,NO,NO,YES,NO,NO,152,39,10578,386,10578,7746,2821,SRLM,44
Purbi Champaran,CENTRAL BANK OF INDIA,19/12/2011,YES,YES,YES,YES,YES,21,30,8880,680,8880,6312,3191,,0
Purnia,STATE BANK OF INDIA,30/03/2007,YES,YES,YES,YES,YES,0,34,9085,319,9085,7109,3974,SRLM,71
Rohtas,PUNJAB NATIONAL BANK,27/01/2012,YES,YES,YES,YES,YES,0,34,9284,298,9284,855,2890,SRLM,50
Saharsa,STATE BANK OF INDIA,27/03/2009,YES,YES,YES,YES,YES,0,38,8680,316,8680,6384,3727,SRLM,52
Samastipur,UNION BANK OF INDIA,31/03/2009,YES,YES,YES,YES,YES,3,37,8798,293,8798,6529,2713,SRLM,51
