district,kcc_disbursed_during_quarter_including_renewal_no,amt,kcc_disbursed_during_financial_year_including_renewal_no,amt,kcc_outstanding_as_on_31_03_2025_no,amt,kcc_npa_as_on_31_03_2025_no,amt,age_npa_no,amt,rupay_card_issued_no,rupay_card_activated_no
Araria,24753,26.00,56008,26.00,117839,26.00,27261,26.00,23.13,26.00,67721,6762
Arwal,933,58.64,2082,58.64,17083,58.64,10093,58.64,59.08,58.64,6019,345
Aurangabad,5400,61.93,14471,61.93,88278,61.93,48889,61.93,55.38,61.93,43753,3048
Banka,6874,55.64,14344,55.64,70323,55.64,39200,55.64,55.74,55.64,16965,3968
Begusarai,22301,36.05,54155,36.05,169620,36.05,52577,36.05,31.00,36.05,41675,8939
Bhagalpur,12366,39.25,30097,39.25,98917,39.25,39009,39.25,39.44,39.25,25507,5294
Bhojpur,6177,54.46,13457,54.46,72900,54.46,36638,54.46,50.26,54.46,18689,1223
Buxar,4265,59.50,10696,59.50,73240,59.50,40467,59.50,55.25,59.50,21755,2751
Darbhanga,21918,13.52,63194,13.52,90889,13.52,11306,13.52,12.44,13.52,52682,3735
Gaya,8366,52.84,22202,52.84,121506,52.84,55558,52.84,45.72,52.84,36703,2345
Gopalganj,48797,23.62,83652,23.62,133084,23.62,37382,23.62,28.09,23.62,84099,8826
Jamui,9529,52.80,19945,52.80,88362,52.80,46841,52.80,53.01,52.80,11799,3018
Jehanabad,1499,64.11,3863,64.11,24043,64.11,15869,64.11,66.00,64.11,8296,785
Kaimur (Bhabua),5173,54.44,13798,54.44,64918,54.44,33030,54.44,50.88,54.44,31888,1961
Katihar,26058,31.35,53244,31.35,98380,31.35,34159,31.35,34.72,31.35,55998,9875
Khagaria,10203,45.35,29015,45.35,108879,45.35,54659,45.35,50.20,45.35,25509,2589
Kishanganj,26954,26.33,51954,26.33,85324,26.33,22337,26.33,26.18,26.33,54328,3369
Lakhisarai,3608,56.77,8212,56.77,47481,56.77,27280,56.77,57.45,56.77,4551,989
Madhepura,15288,34.19,32734,34.19,61625,34.19,19589,34.19,31.79,34.19,46958,5725
Madhubani,53499,14.43,99134,14.43,186990,14.43,31931,14.43,17.08,14.43,102652,9747
Munger,5049,52.08,10822,52.08,48590,52.08,25255,52.08,51.98,52.08,6108,2273
Muzaffarpur,56576,24.41,124834,24.41,196906,24.41,56169,24.41,28.53,24.41,100230,10998
Nalanda,5535,64.82,13398,64.82,98232,64.82,60973,64.82,62.07,64.82,27228,3432
Nawada,8100,37.70,17853,37.70,86293,37.70,29973,37.70,34.73,37.70,21955,1356
Pashchim Champaran,55181,20.79,115191,20.79,190790,20.79,39386,20.79,20.64,20.79,111292,7288
Patna,7232,59.78,16523,59.78,91294,59.78,54472,59.78,59.67,59.78,29160,6440
Purbi Champaran,69252,26.07,143415,26.07,270256,26.07,71909,26.07,26.61,26.07,155365,19812
Purnia,34341,27.62,75129,27.62,140128,27.62,40188,27.62,28.68,27.62,84206,13884
Rohtas,7920,60.99,18867,60.99,102499,60.99,53585,60.99,52.28,60.99,35516,4626
Saharsa,22509,28.47,41724,28.47,71377,28.47,22070,28.47,30.92,28.47,45815,4276
Samastipur,32096,36.43,78753,36.43,214132,36.43,77656,36.43,36.27,36.43,61680,13202
Saran,32623,30.02,62053,30.02,95043,30.02,35491,30.02,37.34,30.02,56072,7054
Sheikhpura,2855,42.86,6765,42.86,30312,42.86,13736,42.86,45.32,42.86,4102,1250
Sheohar,6495,26.34,15704,26.34,28962,26.34,10272,26.34,35.47,26.34,15716,1447
Sitamarhi,30415,31.48,63533,31.48,114994,31.48,38158,31.48,33.18,31.48,63911,4629
Siwan,34737,25.91,64297,25.91,98530,25.91,27390,25.91,27.80,25.91,64016,5025
Supaul,28316,34.51,48872,34.51,80454,34.51,33699,34.51,41.89,34.51,55993,8221
Vaishali,27345,30.85,76833,30.85,137775,30.85,51052,30.85,37.05,30.85,88053,14200
