District,Non Priority Sector Agriculture (NPS) A/c,Amt,Education (NPS) A/c,Amt,Housing (NPS) A/c,Amt,Personal Loans under NPS A/c,Amt,Others NPS A/c,Amt,Total Non Priority Sector A/c,Amt
Araria,2096,9.16,25,6.91,1220,211.65,14358,256.52,74340,1358.99,92039,1843.24
Arwal,2,0.02,3,0.78,219,46.24,3820,102.64,12024,285.44,16068,435.12
Aurangabad,450,6.25,19,3.95,1501,260.59,14388,370.89,43298,2278.21,59656,2919.89
Banka,452,4.76,8,2.08,553,99.13,7155,145.66,31733,677.10,39901,928.73
Begusarai,705,19.26,63,15.78,3514,606.62,26251,594.78,111194,2260.93,141727,3497.38
Bhagalpur,1300,15.99,116,26.96,5968,1167.24,31202,698.51,107527,2724.27,146113,4632.97
Bhojpur,150,5.27,32,8.53,2746,509.41,18159,450.06,80318,1710.98,101405,2684.24
Buxar,391,2.99,22,4.20,1166,181.32,13636,301.06,41399,921.23,56614,1410.80
Darbhanga,1699,10.79,84,21.95,4771,846.25,26377,690.30,113391,2353.15,146322,3922.43
Gaya,880,5.95,443,69.40,5938,1077.38,35167,970.63,132834,3094.82,175262,5218.18
Gopalganj,668,6.64,24,5.19,1053,176.77,19121,374.25,61558,1138.12,82424,1700.97
Jamui,23,3.08,7,1.56,500,100.22,7709,215.86,38355,828.37,46594,1149.09
Jehanabad,12,0.43,8,1.14,889,145.67,9574,202.73,28510,580.89,38993,930.86
Kaimur (Bhabua),195,1.32,12,3.45,636,110.30,7758,194.07,29002,736.06,37603,1045.20
Katihar,444,3.95,52,12.94,2610,413.85,17573,433.70,80898,1668.85,101577,2533.30
Khagaria,296,2.35,14,3.48,523,110.52,10493,213.58,36648,735.23,47974,1065.16
Kishanganj,723,9.54,26,6.40,859,139.77,9238,149.85,47330,939.17,58176,1244.73
Lakhisarai,18,0.23,9,1.73,364,74.10,6369,133.05,22622,524.43,29382,733.53
Madhepura,960,4.93,15,2.49,648,125.53,10163,196.07,44373,965.86,56159,1294.88
Madhubani,388,3.80,44,9.97,2109,343.58,19133,473.51,85588,1787.88,107262,2618.74
Munger,194,0.47,20,4.35,1133,166.75,14440,350.84,48936,1187.83,64723,1710.24
Muzaffarpur,539,82.21,197,45.85,9458,1604.36,61366,1319.84,239439,4651.91,310999,7704.18
Nalanda,342,2.68,37,9.75,2379,483.61,21520,472.53,82409,1597.08,106687,2565.66
Nawada,227,2.46,16,4.17,1352,235.32,11864,268.10,49482,937.75,62941,1447.80
Pashchim Champaran,632,6.85,38,9.78,1928,255.55,30771,522.02,86938,1930.82,120307,2725.02
Patna,556,1707.00,1230,312.77,53531,12045.12,250530,5244.43,729826,34822.03,1035673,54131.36
Purbi Champaran,873,10.12,43,9.93,2573,438.73,29128,745.61,141987,2743.70,174604,3948.09
Purnia,1328,9.72,72,18.16,4957,842.20,20482,437.27,111469,2270.59,138308,3577.94
Rohtas,820,6.96,40,7.57,1921,355.49,19405,462.04,66487,1669.71,88673,2501.78
Saharsa,439,5.04,31,7.28,1370,243.85,10039,282.75,37125,934.10,49004,1473.02
Samastipur,952,8.20,50,12.23,2533,503.58,31871,788.63,122299,2008.55,157705,3321.20
Saran,390,7.22,34,7.68,2672,380.84,25579,575.50,107540,2006.93,136215,2978.17
Sheikhpura,7,0.20,4,0.76,289,60.97,5272,91.05,14936,389.69,20508,542.67
Sheohar,24,0.36,6,1.49,182,31.57,6066,95.65,11099,218.55,17377,347.62
Sitamarhi,518,11.47,51,13.16,1669,300.33,19292,402.44,65264,1269.14,86794,1996.54
Siwan,519,4.56,42,8.65,2100,337.57,23247,483.20,95778,1542.46,121686,2376.44
Supaul,204,4.24,19,3.57,721,144.22,9645,229.42,48600,1230.71,59189,1612.16
Vaishali,474,3.91,63,13.93,3056,606.50,36877,678.28,125503,1938.46,165973,3241.09
