district,other_priority_sector_export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_priority_sector_a_c,amt
Araria,0,173.4,137,173.4,379,173.4,9,173.4,11,173.4,24692,173.4,25228,173.4
Arwal,0,25.55,54,25.55,73,25.55,0,25.55,13,25.55,3807,25.55,3947,25.55
Aurangabad,0,115.05,302,115.05,399,115.05,1,115.05,36,115.05,12043,115.05,12781,115.05
Banka,0,179.48,125,179.48,202,179.48,0,179.48,15,179.48,12553,179.48,12895,179.48
Begusarai,0,242.94,383,242.94,615,242.94,5,242.94,99,242.94,19009,242.94,20111,242.94
Bhagalpur,0,355.21,745,355.21,938,355.21,1,355.21,107,355.21,28339,355.21,30130,355.21
Bhojpur,0,137.87,337,137.87,718,137.87,1,137.87,47,137.87,11760,137.87,12863,137.87
Buxar,0,78.34,191,78.34,409,78.34,0,78.34,24,78.34,8831,78.34,9455,78.34
Darbhanga,0,132.38,551,132.38,692,132.38,29,132.38,30,132.38,14045,132.38,15347,132.38
Gaya,0,224.68,1168,224.68,1088,224.68,40,224.68,105,224.68,21583,224.68,23984,224.68
Gopalganj,0,95.56,174,95.56,417,95.56,0,95.56,6,95.56,12310,95.56,12907,95.56
Jamui,0,101.86,84,101.86,164,101.86,1,101.86,10,101.86,12883,101.86,13142,101.86
Jehanabad,0,42.24,180,42.24,314,42.24,0,42.24,16,42.24,2075,42.24,2585,42.24
Kaimur (Bhabua),0,77.5,89,77.5,271,77.5,2,77.5,20,77.5,10473,77.5,10855,77.5
Katihar,0,152.29,191,152.29,540,152.29,0,152.29,11,152.29,18796,152.29,19538,152.29
Khagaria,0,66.24,97,66.24,113,66.24,5,66.24,12,66.24,7736,66.24,7963,66.24
Kishanganj,0,154.91,115,154.91,323,154.91,1,154.91,7,154.91,20958,154.91,21404,154.91
Lakhisarai,0,52.38,97,52.38,133,52.38,65,52.38,9,52.38,6619,52.38,6923,52.38
Madhepura,0,51.99,94,51.99,105,51.99,0,51.99,11,51.99,7152,51.99,7362,51.99
Madhubani,0,95.55,362,95.55,642,95.55,1,95.55,14,95.55,11306,95.55,12325,95.55
Munger,0,125.98,183,125.98,342,125.98,0,125.98,18,125.98,12688,125.98,13231,125.98
Muzaffarpur,0,295.54,884,295.54,1340,295.54,1,295.54,115,295.54,28784,295.54,31124,295.54
Nalanda,0,218,316,218,416,218,5,218,142,218,16611,218,17490,218
Nawada,0,120.72,149,120.72,411,120.72,1,120.72,21,120.72,15021,120.72,15603,120.72
Pashchim Champaran,0,135.97,286,135.97,399,135.97,2,135.97,31,135.97,15706,135.97,16424,135.97
Patna,0,1073.43,4299,1073.43,6576,1073.43,93,1073.43,691,1073.43,55831,1073.43,67490,1073.43
Purbi Champaran,0,202.91,470,202.91,783,202.91,545,202.91,46,202.91,31635,202.91,33479,202.91
Purnia,0,205.83,347,205.83,1017,205.83,9,205.83,24,205.83,22817,205.83,24214,205.83
Rohtas,0,155.14,322,155.14,567,155.14,3,155.14,56,155.14,15956,155.14,16904,155.14
Saharsa,0,67.89,136,67.89,177,67.89,2,67.89,18,67.89,10616,67.89,10949,67.89
Samastipur,0,190.87,470,190.87,696,190.87,5,190.87,42,190.87,20715,190.87,21928,190.87
Saran,0,219.82,324,219.82,520,219.82,7,219.82,37,219.82,31021,219.82,31909,219.82
Sheikhpura,0,34.38,68,34.38,90,34.38,14,34.38,15,34.38,4237,34.38,4424,34.38
Sheohar,0,7.36,43,7.36,96,7.36,0,7.36,0,7.36,561,7.36,700,7.36
Sitamarhi,0,76.03,267,76.03,492,76.03,1,76.03,60,76.03,7251,76.03,8071,76.03
Siwan,0,182.87,236,182.87,502,182.87,54,182.87,9,182.87,24767,182.87,25568,182.87
Supaul,0,41.27,96,41.27,165,41.27,0,41.27,47,41.27,5190,41.27,5498,41.27
Vaishali,0,204.84,402,204.84,819,204.84,3,204.84,76,204.84,22125,204.84,23425,204.84
