district,non_priority_sector_agriculture_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,personal_loan_target,achie,achie,other_target,achie,achie,total_non_priority_sector_target,achie,achie
Araria,0.00,75.69,75.69,14.35,75.69,75.69,57.49,75.69,75.69,373.61,75.69,75.69,991.51,75.69,75.69,1436.96,75.69,75.69
Arwal,0.00,43.76,43.76,5.37,43.76,43.76,21.56,43.76,43.76,140.04,43.76,43.76,371.67,43.76,43.76,538.64,43.76,43.76
Aurangabad,0.00,55.65,55.65,16.31,55.65,55.65,65.30,55.65,55.65,424.36,55.65,55.65,1126.15,55.65,55.65,1632.12,55.65,55.65
Banka,0.00,55.03,55.03,10.18,55.03,55.03,40.73,55.03,55.03,264.76,55.03,55.03,702.64,55.03,55.03,1018.31,55.03,55.03
Begusarai,0.00,97.60,97.60,20.43,97.60,97.60,81.67,97.60,97.60,530.95,97.60,97.60,1408.99,97.60,97.60,2042.04,97.60,97.60
Bhagalpur,0.00,84.39,84.39,28.80,84.39,84.39,115.34,84.39,84.39,749.86,84.39,84.39,1989.96,84.39,84.39,2883.96,84.39,84.39
Bhojpur,0.00,79.11,79.11,17.67,79.11,79.11,70.79,79.11,79.11,459.96,79.11,79.11,1220.63,79.11,79.11,1769.05,79.11,79.11
Buxar,0.00,56.03,56.03,13.20,56.03,56.03,52.83,56.03,56.03,343.39,56.03,56.03,911.30,56.03,56.03,1320.72,56.03,56.03
Darbhanga,0.00,91.38,91.38,21.55,91.38,91.38,86.29,91.38,91.38,560.94,91.38,91.38,1488.65,91.38,91.38,2157.43,91.38,91.38
Gaya,0.00,74.30,74.30,39.46,74.30,74.30,157.96,74.30,74.30,1026.70,74.30,74.30,2724.70,74.30,74.30,3948.82,74.30,74.30
Gopalganj,0.00,71.03,71.03,14.17,71.03,71.03,56.78,71.03,71.03,369.02,71.03,71.03,979.31,71.03,71.03,1419.28,71.03,71.03
Jamui,0.00,84.00,84.00,8.32,84.00,84.00,33.38,84.00,84.00,216.88,84.00,84.00,575.61,84.00,84.00,834.19,84.00,84.00
Jehanabad,0.00,55.55,55.55,8.83,55.55,55.55,35.40,55.55,55.55,229.99,55.55,55.55,610.35,55.55,55.55,884.57,55.55,55.55
Kaimur (Bhabua),0.00,57.08,57.08,10.38,57.08,57.08,41.46,57.08,57.08,269.52,57.08,57.08,715.24,57.08,57.08,1036.60,57.08,57.08
Katihar,0.00,78.71,78.71,18.29,78.71,78.71,73.16,78.71,78.71,475.46,78.71,78.71,1261.75,78.71,78.71,1828.66,78.71,78.71
Khagaria,0.00,70.19,70.19,8.74,70.19,70.19,34.99,70.19,70.19,227.41,70.19,70.19,603.54,70.19,70.19,874.68,70.19,70.19
Kishanganj,0.00,81.29,81.29,8.98,81.29,81.29,35.89,81.29,81.29,233.35,81.29,81.29,619.29,81.29,81.29,897.51,81.29,81.29
Lakhisarai,0.00,63.11,63.11,6.22,63.11,63.11,24.94,63.11,63.11,162.27,63.11,63.11,430.65,63.11,63.11,624.08,63.11,63.11
Madhepura,0.00,57.15,57.15,12.16,57.15,57.15,48.65,57.15,57.15,316.19,57.15,57.15,839.09,57.15,57.15,1216.09,57.15,57.15
Madhubani,0.00,62.97,62.97,21.08,62.97,62.97,84.44,62.97,62.97,548.76,62.97,62.97,1456.32,62.97,62.97,2110.60,62.97,62.97
Munger,0.00,77.89,77.89,11.75,77.89,77.89,47.09,77.89,77.89,306.06,77.89,77.89,812.20,77.89,77.89,1177.10,77.89,77.89
Muzaffarpur,0.00,116.79,116.79,48.14,116.79,116.79,192.65,116.79,116.79,1252.05,116.79,116.79,3322.79,116.79,116.79,4815.63,116.79,116.79
Nalanda,0.00,73.30,73.30,18.06,73.30,73.30,72.31,73.30,73.30,470.06,73.30,73.30,1247.43,73.30,73.30,1807.86,73.30,73.30
Nawada,0.00,72.59,72.59,10.49,72.59,72.59,41.96,72.59,72.59,272.73,72.59,72.59,723.81,72.59,72.59,1048.99,72.59,72.59
Pashchim Champaran,0.00,86.02,86.02,18.88,86.02,86.02,75.24,86.02,86.02,490.15,86.02,86.02,1300.75,86.02,86.02,1885.02,86.02,86.02
Patna,0.00,211.91,211.91,184.02,211.91,211.91,734.94,211.91,211.91,4776.84,211.91,211.91,12677.00,211.91,211.91,18372.80,211.91,211.91
Purbi Champaran,0.00,81.83,81.83,28.16,81.83,81.83,112.77,81.83,81.83,732.98,81.83,81.83,1945.19,81.83,81.83,2819.10,81.83,81.83
Purnia,0.00,86.89,86.89,22.92,86.89,86.89,91.77,86.89,86.89,596.40,86.89,86.89,1582.82,86.89,86.89,2293.91,86.89,86.89
Rohtas,0.00,70.49,70.49,18.70,70.49,70.49,74.83,70.49,70.49,486.32,70.49,70.49,1290.58,70.49,70.49,1870.43,70.49,70.49
Saharsa,0.00,82.06,82.06,10.05,82.06,82.06,40.25,82.06,82.06,261.47,82.06,82.06,693.88,82.06,82.06,1005.65,82.06,82.06
Samastipur,0.00,71.37,71.37,24.31,71.37,71.37,97.16,71.37,71.37,631.49,71.37,71.37,1675.86,71.37,71.37,2428.82,71.37,71.37
Saran,0.00,74.05,74.05,23.00,74.05,74.05,92.03,74.05,74.05,598.10,74.05,74.05,1587.28,74.05,74.05,2300.41,74.05,74.05
Sheikhpura,0.00,63.95,63.95,4.70,63.95,63.95,18.82,63.95,63.95,122.11,63.95,63.95,324.10,63.95,63.95,469.73,63.95,63.95
Sheohar,0.00,46.14,46.14,3.98,46.14,46.14,15.91,46.14,46.14,103.28,46.14,46.14,274.11,46.14,46.14,397.28,46.14,46.14
Sitamarhi,0.00,77.78,77.78,13.94,77.78,77.78,55.66,77.78,77.78,361.82,77.78,77.78,960.24,77.78,77.78,1391.66,77.78,77.78
Siwan,0.00,81.16,81.16,19.41,81.16,81.16,77.67,81.16,81.16,504.77,81.16,81.16,1339.64,81.16,81.16,1941.49,81.16,81.16
