District,Other Priority Sector Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Priority Sector A/c,Amt
Araria,0,0,209,6.31,137,2.84,2,0.00,4,0.06,8021,16.50,8373,25.71
Arwal,0,0,173,7.18,9,0.57,0,0.00,0,0.00,1398,2.90,1580,10.65
Aurangabad,0,0,680,23.64,44,1.73,0,0.00,0,0.00,4239,11.30,4963,36.67
Banka,0,0,158,4.61,24,0.51,27,0.06,1,0.01,6727,10.79,6937,15.98
Begusarai,0,0,408,13.14,139,3.99,48,0.10,5,0.01,9745,16.63,10345,33.87
Bhagalpur,0,0,218,5.63,72,2.88,0,0.00,0,0.00,5894,11.70,6184,20.21
Bhojpur,0,0,431,16.40,66,2.80,0,0.00,0,0.00,2853,8.26,3350,27.46
Buxar,0,0,238,7.99,39,1.76,0,0.00,0,0.00,1961,4.45,2238,14.2
Darbhanga,0,0,469,14.23,67,2.56,146,0.38,4,0.00,4206,9.52,4892,26.69
Gaya,0,0,742,28.60,145,7.40,0,0.00,0,0.00,4017,9.51,4904,45.51
Gopalganj,0,0,228,5.84,737,2.75,1,0.00,2,0.01,6266,14.55,7234,23.15
Jamui,0,0,105,3.70,25,0.25,0,0.00,0,0.00,5194,10.73,5324,14.68
Jehanabad,0,0,325,11.72,17,0.78,0,0.00,1,0.00,707,1.34,1050,13.84
Kaimur (Bhabua),0,0,256,10.10,29,1.82,1,0.00,0,0.00,2219,4.46,2505,16.38
Katihar,0,0,200,5.35,103,3.42,0,0.00,12,0.07,3152,8.79,3467,17.63
Khagaria,0,0,197,5.74,16,0.87,1,0.00,0,0.00,3963,9.42,4177,16.03
Kishanganj,0,0,119,2.52,339,5.93,0,0.00,1,0.00,1505,3.17,1964,11.62
Lakhisarai,0,0,188,7.58,18,1.03,175,0.58,0,0.00,2391,4.54,2772,13.73
Madhepura,0,0,163,4.59,137,2.13,187,0.45,2,0.01,3597,8.89,4086,16.07
Madhubani,0,0,582,16.86,57,1.57,0,0.00,6,0.02,7490,15.75,8135,34.2
Munger,0,0,156,5.03,38,2.24,0,0.00,0,0.00,4207,7.28,4401,14.55
Muzaffarpur,0,0,737,22.14,156,9.63,0,0.00,14,0.07,11533,29.45,12440,61.29
Nalanda,0,0,761,24.00,56,3.83,0,0.00,0,0.00,2668,6.33,3485,34.16
Nawada,0,0,279,10.04,41,1.91,0,0.00,0,0.00,3012,7.93,3332,19.88
Pashchim Champaran,0,0,330,9.53,29,1.87,1,0.09,1,0.00,11653,32.15,12014,43.64
Patna,0,0,1680,50.40,459,30.47,4,3.06,0,0.00,13773,32.38,15916,116.31
Purbi Champaran,0,0,371,10.85,64,2.85,4448,8.91,17,0.01,10792,23.13,15692,45.75
Purnia,0,0,259,7.60,597,10.35,0,0.00,0,0.00,5560,11.42,6416,29.37
Rohtas,0,0,657,23.27,159,7.92,0,0.00,1,0.01,7016,15.09,7833,46.29
Saharsa,0,0,220,6.27,67,1.22,0,0.00,0,0.00,2341,5.85,2628,13.34
Samastipur,0,0,517,16.85,52,2.30,357,0.86,2,0.01,6886,18.15,7814,38.17
Saran,0,0,533,15.22,86,2.46,1,0.00,17,0.06,6604,14.70,7241,32.44
Sheikhpura,0,0,134,4.53,12,0.31,11,0.04,0,0.00,1489,3.17,1646,8.05
Sheohar,0,0,53,1.53,60,0.59,0,0.00,0,0.00,931,1.92,1044,4.04
Sitamarhi,0,0,337,9.55,56,1.86,0,0.00,7,0.01,3502,9.52,3902,20.94
Siwan,0,0,492,16.36,50,2.59,95,0.24,7,0.03,4718,11.90,5362,31.12
Supaul,0,0,248,8.22,125,1.98,48,0.11,0,0.00,2697,5.28,3118,15.59
Vaishali,0,0,634,17.38,333,4.68,0,0.00,69,0.15,8478,17.86,9514,40.07
