District,TARGET NO.,AMT,Disbursed No.,% Achievement No.
Araria,42357,622.40,57809,136.48
Arwal,19829,279.13,8309,41.90
Aurangabad,34715,550.45,51269,147.69
Banka,40286,522.92,45600,113.19
Begusarai,57329,878.10,94336,164.55
Bhagalpur,69518,907.00,73105,105.16
Bhojpur,68582,908.99,133098,194.07
Buxar,69340,810.63,39695,57.25
Darbhanga,63491,817.57,101482,159.84
Gaya,110381,1515.54,315877,286.17
Gopalganj,49779,638.54,55989,112.48
Jamui,33873,431.47,31290,92.37
Jehanabad,27000,367.02,17466,64.69
Kaimur (Bhabua),40120,574.71,37634,93.80
Katihar,61253,794.58,97935,159.89
Khagaria,31349,460.48,36994,118.01
Kishanganj,35424,465.42,49546,139.87
Lakhisarai,23845,381.83,20995,88.05
Madhepura,33498,439.29,58445,174.47
Madhubani,91337,1114.62,61007,66.79
Munger,44118,611.30,22680,51.41
Muzaffarpur,163371,1863.90,139417,85.34
Nalanda,68527,940.50,50945,74.34
Nawada,35237,436.07,34495,97.89
Pashchim Champaran,74445,1130.21,80772,108.50
Patna,115639,1886.41,700526,605.79
Purbi Champaran,109129,1261.64,152098,139.37
Purnia,70523,943.29,71297,101.10
Rohtas,55558,707.95,51292,92.32
Saharsa,18084,243.70,29797,164.77
Samastipur,102608,1477.89,90963,88.65
Saran,83019,1148.57,105293,126.83
Sheikhpura,13843,200.27,11345,81.95
Sheohar,13656,191.11,11596,84.92
Sitamarhi,42813,618.66,46063,107.59
Siwan,78695,1054.51,331324,421.02
Supaul,23389,329.23,35682,152.56
Vaishali,107065,1324.82,731283,683.03
