District,"1 AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"2 MSME TOTAL
0/S","TOTAL
NPA",%AGE,"3 OPS TOTAL
0/S","TOTAL
NPA",%AGE,4 TOTAL PRIORITY SECTOR TOTAL 0/S,"TOTAL
NPA",%AGE,5 NPS TOTAL 0/S,"TOTAL
NPA",%AGE,6 NPA IN TOTAL ADVANCE TOTAL 0/S,"TOTAL
NPA",%AGE
Araria,2054.67,316.49,15.40,1300.59,98.88,7.60,280.18,25.71,9.18,3635.44,441.08,12.13,1843.00,43.56,2.36,5478.68,484.64,8.85
Arwal,501.90,99.36,19.80,231.84,33.84,14.60,58.00,10.65,18.36,791.73,143.85,18.17,435.00,10.83,2.49,1226.86,154.68,12.61
Aurangabad,2035.21,571.67,28.09,1141.97,105.60,9.25,282.80,36.67,12.97,3459.98,713.94,20.63,2920.00,37.09,1.27,6379.87,751.03,11.77
Banka,1342.83,296.63,22.09,575.29,133.95,23.28,213.98,15.98,7.47,2132.09,446.56,20.94,929.00,25.74,2.77,3060.82,472.30,15.43
Begusarai,2969.55,558.08,18.79,2761.25,141.98,5.14,481.86,33.87,7.03,6212.66,733.93,11.81,3497.00,62.03,1.77,9710.04,795.96,8.20
Bhagalpur,1976.38,346.41,17.53,2832.37,135.32,4.78,666.82,20.21,3.03,5475.55,501.94,9.17,4633.00,75.09,1.62,10108.53,577.03,5.71
Bhojpur,2070.51,394.99,19.08,1191.20,109.05,9.15,394.96,27.46,6.95,3656.66,531.50,14.54,2684.00,47.20,1.76,6340.90,578.70,9.13
Buxar,1365.13,475.80,34.85,720.87,113.44,15.74,211.82,14.20,6.70,2297.81,603.44,26.26,1411.00,25.94,1.84,3708.61,629.38,16.97
Darbhanga,2233.62,187.67,8.40,2001.84,128.58,6.42,468.62,26.69,5.70,4704.09,342.94,7.29,3922.00,54.59,1.39,8626.52,397.53,4.61
Gaya,4103.53,702.03,17.11,3003.29,305.95,10.19,743.89,45.51,6.12,7850.71,1053.49,13.42,5218.00,115.86,2.22,13068.89,1169.35,8.95
Gopalganj,2278.81,368.61,16.18,1084.73,72.31,6.67,226.81,23.15,10.21,3590.34,464.07,12.93,1701.00,32.89,1.93,5291.30,496.96,9.39
Jamui,1288.82,409.96,31.81,496.15,68.14,13.73,133.79,14.68,10.97,1918.77,492.78,25.68,1149.00,27.16,2.36,3067.86,519.94,16.95
Jehanabad,758.87,201.87,26.60,464.79,67.37,14.49,126.70,13.84,10.92,1350.36,283.08,20.96,931.00,23.63,2.54,2281.21,306.71,13.45
Kaimur (Bhabua),1627.30,457.19,28.10,537.84,85.81,15.95,161.69,16.38,10.13,2326.83,559.38,24.04,1045.00,18.55,1.78,3372.02,577.93,17.14
Katihar,2663.91,364.58,13.69,1343.10,83.78,6.24,374.01,17.63,4.71,4381.02,465.99,10.64,2533.00,35.82,1.41,6914.32,501.81,7.26
Khagaria,1444.99,394.52,27.30,529.33,46.55,8.79,124.69,16.03,12.86,2099.01,457.10,21.78,1065.00,27.68,2.60,3164.16,484.78,15.32
Kishanganj,1501.93,210.00,13.98,646.37,46.46,7.19,220.40,11.62,5.27,2368.69,268.08,11.32,1245.00,17.77,1.43,3613.42,285.85,7.91
Lakhisarai,821.27,246.22,29.98,325.59,31.90,9.80,100.11,13.73,13.71,1246.98,291.85,23.40,734.00,14.42,1.96,1980.51,306.27,15.46
Madhepura,1634.68,265.37,16.23,636.56,71.76,11.27,133.75,16.07,12.01,2404.98,353.20,14.69,1295.00,20.25,1.56,3699.86,373.45,10.09
Madhubani,2514.19,244.85,9.74,1338.83,107.34,8.02,342.15,34.20,10.00,4195.18,386.39,9.21,2619.00,39.89,1.52,6813.92,426.28,6.26
Munger,792.51,201.43,25.42,581.16,85.16,14.65,227.55,14.55,6.39,1601.22,301.14,18.81,1710.00,31.84,1.86,3311.46,332.98,10.06
Muzaffarpur,4633.73,588.58,12.70,4727.66,268.77,5.69,1055.08,61.29,5.81,10416.47,918.64,8.82,7704.00,182.39,2.37,18120.65,1101.03,6.08
Nalanda,2100.27,548.50,26.12,1488.69,184.53,12.40,413.81,34.16,8.25,4002.76,767.19,19.17,2566.00,47.63,1.86,6568.42,814.82,12.41
