District,TARGET NO.,AMT,ACHIE. NO.,AMT,% ACHIE. NO.,AMT,OUTSTANDING NO.,AMT,NPA NO.,AMT,% NPA NO.,AMT
Araria,1437,106.93,379,14.66,26.37,13.71,1337,104.90,137,2.84,10.25,2.71
Arwal,456,33.90,73,5.64,16.01,16.64,216,21.18,9,0.57,4.17,2.69
Aurangabad,1587,118.28,399,40.75,25.14,34.45,1495,152.70,44,1.73,2.94,1.13
Banka,3076,229.93,202,15.68,6.57,6.82,716,72.13,24,0.51,3.35,0.71
Begusarai,4496,336.39,615,47.05,13.68,13.99,2511,250.18,139,3.99,5.54,1.59
Bhagalpur,4419,330.65,938,60.88,21.23,18.41,3931,363.13,72,2.88,1.83,0.79
Bhojpur,1739,129.38,718,61.01,41.29,47.16,2449,262.83,66,2.80,2.69,1.07
Buxar,1178,87.72,409,24.21,34.72,27.60,1446,133.79,39,1.76,2.70,1.32
Darbhanga,2390,178.50,692,31.28,28.95,17.52,3169,279.30,67,2.56,2.11,0.92
Gaya,2517,187.94,1088,62.59,43.23,33.30,4430,413.50,145,7.40,3.27,1.79
Gopalganj,1357,100.74,417,17.22,30.73,17.09,1966,110.85,737,2.75,37.49,2.48
Jamui,1761,131.41,164,13.01,9.31,9.90,531,45.35,25,0.25,4.71,0.55
Jehanabad,882,65.03,314,26.28,35.60,40.41,885,81.23,17,0.78,1.92,0.96
Kaimur (Bhabua),860,64.03,271,17.98,31.51,28.08,764,74.92,29,1.82,3.80,2.43
Katihar,1986,148.24,540,32.86,27.19,22.17,2080,210.61,103,3.42,4.95,1.62
Khagaria,902,66.90,113,10.90,12.53,16.29,561,49.53,16,0.87,2.85,1.76
Kishanganj,2846,213.01,323,13.00,11.35,6.10,1200,89.00,339,5.93,28.25,6.66
Lakhisarai,594,44.07,133,9.26,22.39,21.01,439,39.24,18,1.03,4.10,2.62
Madhepura,2993,223.98,105,6.82,3.51,3.04,754,63.66,137,2.13,18.17,3.35
Madhubani,3151,235.88,642,25.36,20.37,10.75,2056,195.63,57,1.57,2.77,0.80
Munger,1509,112.31,342,21.02,22.66,18.72,1184,111.76,38,2.24,3.21,2.00
Muzaffarpur,2874,214.62,1340,77.20,46.62,35.97,7131,681.59,156,9.63,2.19,1.41
Nalanda,1897,141.36,416,35.42,21.93,25.06,1882,188.66,56,3.83,2.98,2.03
Nawada,2142,160.01,411,30.12,19.19,18.82,1671,165.61,41,1.91,2.45,1.15
Pashchim Champaran,855,63.58,399,18.13,46.67,28.52,1760,176.75,29,1.87,1.65,1.06
Patna,51880,3890.03,6576,465.87,12.68,11.98,30812,3738.55,459,30.47,1.49,0.82
Purbi Champaran,2778,207.18,783,23.87,28.19,11.52,2467,226.18,64,2.85,2.59,1.26
Purnia,4894,366.18,1017,57.87,20.78,15.80,4526,404.62,597,10.35,13.19,2.56
Rohtas,2210,164.90,567,43.44,25.66,26.34,2520,224.23,159,7.92,6.31,3.53
Saharsa,750,55.25,177,8.07,23.60,14.61,907,78.26,67,1.22,7.39,1.56
Samastipur,3114,232.56,696,51.41,22.35,22.11,2690,280.35,52,2.30,1.93,0.82
Saran,8622,646.00,520,28.01,6.03,4.34,2048,208.25,86,2.46,4.20,1.18
Sheikhpura,526,38.67,90,6.91,17.11,17.87,436,42.16,12,0.31,2.75,0.74
Sheohar,368,26.90,96,2.79,26.09,10.37,332,24.22,60,0.59,18.07,2.44
Sitamarhi,1071,79.69,492,21.42,45.94,26.88,1581,154.03,56,1.86,3.54,1.21
Siwan,4205,314.60,502,26.83,11.94,8.53,1902,182.36,50,2.59,2.63,1.42
Supaul,1031,76.33,165,8.58,16.00,11.24,858,70.46,125,1.98,14.57,2.81
Vaishali,8767,657.00,819,40.46,9.34,6.16,2879,244.85,333,4.68,11.57,1.91
