district,shishu_account,amount,kishor_account,amount,tarun_account,amount,total_account,amount
Araria,75115,1061.72,71286,1061.72,1967,1061.72,148368,1061.72
Arwal,8101,123.06,5480,123.06,450,123.06,14031,123.06
Aurangabad,30618,496.54,27102,496.54,1407,496.54,59127,496.54
Banka,34176,438.85,24769,438.85,734,438.85,59679,438.85
Begusarai,86194,1297.06,92626,1297.06,2129,1297.06,180949,1297.06
Bhagalpur,70524,1211.14,73260,1211.14,2436,1211.14,146220,1211.14
Bhojpur,30142,510.24,28560,510.24,1554,510.24,60256,510.24
Buxar,22204,393.57,22624,393.57,1116,393.57,45944,393.57
Darbhanga,67795,1222.66,96243,1222.66,3404,1222.66,167442,1222.66
Gaya,111990,1262.33,82789,1262.33,3140,1262.33,197919,1262.33
Gopalganj,36447,729.15,51475,729.15,2398,729.15,90320,729.15
Jamui,34041,502.55,33373,502.55,726,502.55,68140,502.55
Jehanabad,11217,270.42,14873,270.42,799,270.42,26889,270.42
Kaimur (Bhabua),19044,319.77,18545,319.77,1033,319.77,38622,319.77
Katihar,70639,1127.13,87179,1127.13,2363,1127.13,160181,1127.13
Khagaria,39694,558.71,32892,558.71,1061,558.71,73647,558.71
Kishanganj,52335,874.44,64431,874.44,1065,874.44,117831,874.44
Lakhisarai,11608,253.72,15213,253.72,526,253.72,27347,253.72
Madhepura,32593,522.31,35471,522.31,1408,522.31,69472,522.31
Madhubani,77972,1082.73,66617,1082.73,4823,1082.73,149412,1082.73
Munger,28253,411.72,23414,411.72,901,411.72,52568,411.72
Muzaffarpur,122031,1825.25,108908,1825.25,5219,1825.25,236158,1825.25
Nalanda,32985,643.34,34023,643.34,2086,643.34,69094,643.34
Nawada,35165,541.46,33677,541.46,1284,541.46,70126,541.46
Pashchim Champaran,70193,1058.38,70560,1058.38,3088,1058.38,143841,1058.38
Patna,260648,3280.33,153439,3280.33,8821,3280.33,422908,3280.33
Purbi Champaran,60309,1142.40,72315,1142.40,4417,1142.40,137041,1142.40
Purnia,57794,1120.52,73886,1120.52,2999,1120.52,134679,1120.52
Rohtas,50419,698.91,35496,698.91,2255,698.91,88170,698.91
Saharsa,31048,505.52,31783,505.52,1353,505.52,64184,505.52
Samastipur,93314,1446.45,89746,1446.45,3033,1446.45,186093,1446.45
Saran,78211,1374.20,95784,1374.20,4468,1374.20,178463,1374.20
Sheikhpura,7916,149.77,6720,149.77,583,149.77,15219,149.77
Sheohar,6411,106.28,5154,106.28,434,106.28,11999,106.28
Sitamarhi,48099,712.62,43965,712.62,2346,712.62,94410,712.62
Siwan,58230,1072.90,70521,1072.90,3166,1072.90,131917,1072.90
Supaul,20320,437.64,25145,437.64,1756,437.64,47221,437.64
Vaishali,90680,1439.43,89329,1439.43,4125,1439.43,184134,1439.43
