district,kcc_ah_new_target_no,amt,disbursed_no,amt,no,amt,kcc_ah_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_ah_new_renew_target_no,amt,disbursed_no,amt,no,amt
Araria,4346,70.75,3023,70.75,65.25,70.75,287,70.75,3023,70.75,607.67,70.75,4633,70.75,3023,70.75,65.25,70.75
Arwal,1889,13.09,355,13.09,17.60,13.09,128,13.09,355,13.09,108.59,13.09,2017,13.09,355,13.09,17.60,13.09
Aurangabad,1574,60.57,802,60.57,47.71,60.57,107,60.57,802,60.57,287.85,60.57,1681,60.57,802,60.57,47.71,60.57
Banka,2432,52.76,2180,52.76,83.94,52.76,165,52.76,2180,52.76,992.12,52.76,2597,52.76,2180,52.76,83.94,52.76
Begusarai,8362,34.63,2141,34.63,24.05,34.63,542,34.63,2141,34.63,252.58,34.63,8904,34.63,2141,34.63,24.05,34.63
Bhagalpur,6290,73.89,4927,73.89,73.57,73.89,407,73.89,4927,73.89,899.51,73.89,6697,73.89,4927,73.89,73.57,73.89
Bhojpur,5472,22.00,1765,22.00,30.28,22.00,356,22.00,1765,22.00,209.27,22.00,5828,22.00,1765,22.00,30.28,22.00
Buxar,4251,23.11,1190,23.11,26.26,23.11,280,23.11,1190,23.11,163.21,23.11,4531,23.11,1190,23.11,26.26,23.11
Darbhanga,4678,157.60,6432,157.60,129.05,157.60,306,157.60,6432,157.60,1853.27,157.60,4984,157.60,6432,157.60,129.05,157.60
Gaya,8500,15.29,1878,15.29,20.75,15.29,550,15.29,1878,15.29,208.36,15.29,9050,15.29,1878,15.29,20.75,15.29
Gopalganj,3510,60.62,2046,60.62,54.66,60.62,233,60.62,2046,60.62,346.35,60.62,3743,60.62,2046,60.62,54.66,60.62
Jamui,2819,29.10,2295,29.10,76.30,29.10,189,29.10,2295,29.10,1020.63,29.10,3008,29.10,2295,29.10,76.30,29.10
Jehanabad,2506,17.79,731,17.79,27.39,17.79,163,17.79,731,17.79,353.99,17.79,2669,17.79,731,17.79,27.39,17.79
Kaimur (Bhabua),3096,27.22,883,27.22,26.77,27.22,203,27.22,883,27.22,159.61,27.22,3299,27.22,883,27.22,26.77,27.22
Katihar,5908,16.02,1179,16.02,18.74,16.02,384,16.02,1179,16.02,209.38,16.02,6292,16.02,1179,16.02,18.74,16.02
