District,TARGET NO.,"Loan Under
Process NO.","Loan
Sanctioned NO.",% Sanction NO.,"Loan
Disbursed NO.",% Disbursed NO.,"Loan
Rejected NO.",Grand Total NO.
Araria,210,83,175,83.33,131,62.38,578,836
Arwal,90,39,72,80.00,57,63.33,201,312
Aurangabad,240,109,196,81.67,105,43.75,852,1157
Banka,180,40,197,109.44,178,98.89,667,904
Begusarai,360,100,336,93.33,247,68.61,840,1276
Bhagalpur,470,126,478,101.70,417,88.72,1481,2085
Bhojpur,340,124,250,73.53,159,46.76,1323,1697
Buxar,190,114,292,153.68,204,107.37,1001,1407
Darbhanga,410,283,384,93.66,227,55.37,1738,2405
Gaya,450,239,410,91.11,250,55.56,1366,2015
Gopalganj,280,193,265,94.64,173,61.79,1090,1548
Jamui,130,37,132,101.54,112,86.15,305,474
Jehanabad,140,63,124,88.57,96,68.57,320,507
Kaimur (Bhabua),170,76,118,69.41,76,44.71,787,981
Katihar,270,100,218,80.74,158,58.52,746,1064
Khagaria,170,85,156,91.76,127,74.71,552,793
Kishanganj,140,112,141,100.71,107,76.43,600,853
Lakhisarai,110,48,74,67.27,52,47.27,201,323
Madhepura,180,97,138,76.67,93,51.67,812,1047
Madhubani,370,121,309,83.51,225,60.81,1192,1622
Munger,240,49,242,100.83,209,87.08,512,803
Muzaffarpur,610,343,525,86.07,347,56.89,1969,2837
Nalanda,340,186,252,74.12,186,54.71,778,1216
Nawada,160,91,198,123.75,156,97.50,462,751
Pashchim Champaran,340,203,287,84.41,228,67.06,1453,1943
Patna,830,361,878,105.78,563,67.83,1573,2812
Purbi Champaran,440,396,379,86.14,258,58.64,2674,3449
Purnia,380,180,271,71.32,188,49.47,1565,2016
Rohtas,340,157,321,94.41,178,52.35,836,1314
Saharsa,220,195,185,84.09,116,52.73,1969,2349
Samastipur,450,243,477,106.00,349,77.56,1541,2261
Saran,340,239,312,91.76,215,63.24,1615,2166
Sheikhpura,90,45,91,101.11,103,114.44,411,547
Sheohar,80,65,89,111.25,70,87.50,381,535
Sitamarhi,360,211,325,90.28,244,67.78,1609,2145
Siwan,300,228,368,122.67,253,84.33,1329,1925
Supaul,220,157,204,92.73,173,78.64,1244,1605
Vaishali,360,298,401,111.39,268,74.44,1602,2301
