district,no_of_kcc_for_fisheries_issued_during_quarter_including_renew,amount_disbursed_during_quarter,total_no_of_kcc_for_fisheries_as_on_end_of_current_quarter,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_for_fisheries_number_of_rupay_card_iss,kcc_card_activate,no_of_kcc_for_fisheriesissued_during_fin_year_including_renew,amount_disbursed_fin_year
Araria,183,3.94,689,7.00,4,3,320,5.18
Arwal,5,0.10,24,0.24,2,1,7,0.12
Aurangabad,39,0.48,128,0.79,2,2,47,0.59
Banka,51,1.34,142,2.63,14,13,106,2.99
Begusarai,116,3.32,375,5.04,16,1,224,5.79
Bhagalpur,60,1.41,316,2.97,2,2,137,2.21
Bhojpur,19,0.22,74,0.72,1,1,27,0.27
Buxar,8,0.02,63,0.54,0,0,30,0.07
Darbhanga,142,2.20,272,4.17,12,4,194,2.94
Gaya,43,1.21,194,2.17,3,2,64,1.61
Gopalganj,120,0.87,174,3.72,8,1,192,1.55
Jamui,10,0.05,77,0.51,4,4,25,0.09
Jehanabad,19,0.31,95,0.85,3,5,43,0.80
Kaimur (Bhabua),11,0.11,65,0.26,0,0,15,0.14
Katihar,515,3.78,1086,23.98,3,2,770,5.49
Khagaria,145,2.98,279,5.30,3,3,287,5.01
Kishanganj,114,2.70,317,4.47,0,0,217,6.22
Lakhisarai,18,0.48,112,0.87,3,3,24,0.62
Madhepura,49,0.42,96,1.65,2,2,78,0.73
Madhubani,427,5.17,1180,22.43,98,38,1008,11.11
Munger,11,0.32,49,0.54,3,1,33,0.48
Muzaffarpur,192,2.83,431,6.24,16,3,309,5.06
Nalanda,58,1.26,123,3.03,12,2,186,3.08
Nawada,3,0.05,62,0.34,1,0,5,0.12
Pashchim Champaran,68,0.76,139,1.81,5,3,133,1.63
Patna,36,0.74,187,2.31,11,8,103,3.15
Purbi Champaran,97,1.50,158,2.74,12,9,200,2.83
Purnia,620,5.33,1247,21.25,1,0,953,7.96
Rohtas,8,0.16,163,1.55,3,4,24,0.66
Saharsa,190,4.06,547,7.29,11,10,313,4.98
Samastipur,223,6.65,678,8.63,10,10,319,8.52
Saran,152,0.83,172,3.79,7,2,245,1.74
Sheikhpura,10,0.16,56,1.26,8,8,23,0.43
Sheohar,237,7.44,784,9.37,1,1,252,7.58
Sitamarhi,125,2.71,271,3.81,5,2,171,3.75
Siwan,76,0.82,155,4.49,34,8,159,3.63
Supaul,61,0.49,123,1.53,0,0,70,0.56
Vaishali,54,0.82,163,2.65,13,3,75,1.44
