district,no_of_cases_pending_as_on_31_12_2024_no,amt,no_of_cases_filed_during_the_quarter_march_2025_no,amt,no_of_cases_disposed_during_the_quarter_march_2025_no,amt,no_of_cases_pending_as_at_the_end_of_the_quarter_31_03_2025,amt,cases_pending_for_6_months_or_more_as_on_31_03_2025_no,amt
Araria,22,0.75,5,0.75,4,0.75,23,0.75,3,0.75
Arwal,7,1.06,5,1.06,2,1.06,10,1.06,4,1.06
Aurangabad,13,3.53,6,3.53,1,3.53,18,3.53,12,3.53
Banka,3,0,1,0,4,0,0,0,0,0
Begusarai,13,2.21,11,2.21,8,2.21,16,2.21,10,2.21
Bhagalpur,21,19.45,18,19.45,9,19.45,30,19.45,15,19.45
Bhojpur,17,2.14,6,2.14,12,2.14,11,2.14,6,2.14
Buxar,3,0.32,7,0.32,4,0.32,6,0.32,3,0.32
Darbhanga,34,2.32,14,2.32,9,2.32,39,2.32,7,2.32
Gaya,14,1.85,18,1.85,10,1.85,22,1.85,8,1.85
Gopalganj,30,0.47,2,0.47,9,0.47,23,0.47,9,0.47
Jamui,4,0.05,1,0.05,1,0.05,4,0.05,1,0.05
Jehanabad,5,0.5,4,0.5,3,0.5,6,0.5,2,0.5
Kaimur (Bhabua),2,0,11,0,6,0,7,0,0,0
Katihar,10,0.15,6,0.15,5,0.15,11,0.15,5,0.15
Khagaria,7,1.64,4,1.64,3,1.64,8,1.64,5,1.64
Kishanganj,31,0.33,6,0.33,8,0.33,29,0.33,4,0.33
Lakhisarai,8,0.84,0,0.84,5,0.84,3,0.84,2,0.84
Madhepura,10,1,3,1,1,1,12,1,3,1
Madhubani,9,1.67,5,1.67,2,1.67,12,1.67,5,1.67
Munger,12,5.1,12,5.1,3,5.1,21,5.1,8,5.1
Muzaffarpur,71,2.57,23,2.57,26,2.57,68,2.57,15,2.57
Nalanda,43,5.82,11,5.82,2,5.82,52,5.82,29,5.82
Nawada,4,15.37,2,15.37,0,15.37,6,15.37,19,15.37
Pashchim Champaran,34,1.02,10,1.02,9,1.02,35,1.02,4,1.02
Patna,56,0.28,36,0.28,43,0.28,49,0.28,2,0.28
Purbi Champaran,43,0.69,19,0.69,25,0.69,37,0.69,4,0.69
Purnia,59,10.9,28,10.9,11,10.9,76,10.9,25,10.9
Rohtas,65,3.45,11,3.45,10,3.45,66,3.45,44,3.45
Saharsa,28,0.42,1,0.42,12,0.42,17,0.42,3,0.42
Samastipur,11,0.63,7,0.63,6,0.63,12,0.63,1,0.63
Saran,35,0.97,5,0.97,11,0.97,29,0.97,4,0.97
Sheikhpura,4,0.56,1,0.56,1,0.56,4,0.56,2,0.56
Sheohar,18,0.84,4,0.84,1,0.84,21,0.84,1,0.84
Sitamarhi,8,0.5,5,0.5,4,0.5,9,0.5,3,0.5
Siwan,30,0.3,1,0.3,13,0.3,18,0.3,2,0.3
Supaul,8,0.46,3,0.46,2,0.46,9,0.46,2,0.46
Vaishali,62,1.67,16,1.67,31,1.67,47,1.67,10,1.67
