District,KCC New Target No.,AMT,Disbursed No.,% Achievement No.,KCC Renew Target No.,Total No. of KCC
Araria,22033,330.38,2521,11.44,40370,62403
Arwal,11941,179.03,890,7.45,14248,26189
Aurangabad,83834,1257.43,4579,5.46,109887,193721
Banka,16274,243.99,4162,25.57,39034,55308
Begusarai,43112,646.59,3555,8.25,81591,124703
Bhagalpur,46438,696.47,7112,15.32,109299,155737
Bhojpur,60091,901.28,4301,7.16,79048,139139
Buxar,54735,820.95,2754,5.03,88249,142984
Darbhanga,40406,605.98,2231,5.52,60881,101287
Gaya,57525,862.77,8548,14.86,64742,122267
Gopalganj,56179,842.58,2358,4.20,127979,184158
Jamui,26509,397.55,6367,24.02,36941,63450
Jehanabad,23108,346.56,1096,4.74,25322,48430
Kaimur (Bhabua),51077,766.11,2873,5.62,68784,119861
Katihar,30124,451.76,3158,10.48,49818,79942
Khagaria,33472,501.98,3671,10.97,57485,90957
Kishanganj,13826,207.31,1999,14.46,23044,36870
Lakhisarai,23772,356.54,2601,10.94,29695,53467
Madhepura,33982,509.69,1615,4.75,41280,75262
Madhubani,47559,713.29,2417,5.08,92784,140343
Munger,13724,205.8,4093,29.82,22904,36628
Muzaffarpur,59487,892.23,4230,7.11,115770,175257
Nalanda,47303,709.47,5111,10.80,60810,108113
Nawada,34329,514.85,7728,22.51,49507,83836
Pashchim Champaran,36632,549.38,6107,16.67,56380,93012
Patna,86569,1298.4,3028,3.50,163105,249674
Purbi Champaran,77433,1161.4,2459,3.18,112645,190078
Purnia,39829,597.41,4906,12.32,65776,105605
Rohtas,61787,926.73,6688,10.82,74148,135935
Saharsa,38197,572.93,1914,5.01,46449,84646
Samastipur,62798,941.85,11703,18.64,77310,140108
Saran,57276,859.03,2847,4.97,75610,132886
Sheikhpura,10958,164.35,1689,15.41,14134,25092
Sheohar,6384,95.65,619,9.70,18057,24441
Sitamarhi,25470,381.89,1441,5.66,66890,92360
Siwan,49951,749.2,2178,4.36,85840,135791
Supaul,32338,484.96,2498,7.72,40132,72470
Vaishali,38418,576.11,4689,12.21,61640,100058
