district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,5913,10.98,2511,10.98,42.47,10.98
Arwal,2573,7.16,549,7.16,21.34,7.16
Aurangabad,2145,7.97,779,7.97,36.32,7.97
Banka,3309,35.53,5153,35.53,155.73,35.53
Begusarai,11388,14.88,5796,14.88,50.90,14.88
Bhagalpur,8558,20.32,5663,20.32,66.17,20.32
Bhojpur,7450,6.46,1695,6.46,22.75,6.46
Buxar,5789,2.48,876,2.48,15.13,2.48
Darbhanga,6367,21.14,4922,21.14,77.30,21.14
Gaya,11574,14.96,2945,14.96,25.44,14.96
Gopalganj,4781,38.26,3444,38.26,72.04,38.26
Jamui,3840,9.83,771,9.83,20.08,9.83
Jehanabad,3411,4.90,421,4.90,12.34,4.90
Kaimur (Bhabua),4221,7.02,626,7.02,14.83,7.02
Katihar,8051,21.02,4831,21.02,60.00,21.02
Khagaria,4656,47.93,5747,47.93,123.43,47.93
Kishanganj,4836,5.91,1162,5.91,24.03,5.91
Lakhisarai,4596,12.13,1596,12.13,34.73,12.13
Madhepura,3222,28.53,3438,28.53,106.70,28.53
Madhubani,9060,10.16,3452,10.16,38.10,10.16
Munger,6230,14.40,2597,14.40,41.69,14.40
Muzaffarpur,16326,21.70,10031,21.70,61.44,21.70
Nalanda,7781,17.00,4295,17.00,55.20,17.00
Nawada,4103,5.99,515,5.99,12.55,5.99
Pashchim Champaran,7987,23.66,4699,23.66,58.83,23.66
Patna,25226,17.40,9731,17.40,38.58,17.40
Purbi Champaran,5370,36.05,6122,36.05,114.00,36.05
Purnia,6094,25.09,5436,25.09,89.20,25.09
Rohtas,5109,12.04,2053,12.04,40.18,12.04
Saharsa,1998,47.20,4154,47.20,207.91,47.20
Samastipur,9118,27.12,7246,27.12,79.47,27.12
Saran,12128,12.19,4675,12.19,38.55,12.19
Sheikhpura,2075,12.67,823,12.67,39.66,12.67
Sheohar,1722,56.87,2265,56.87,131.53,56.87
Sitamarhi,5454,20.37,3219,20.37,59.02,20.37
Siwan,6831,21.54,3655,21.54,53.51,21.54
Supaul,2714,16.92,1212,16.92,44.66,16.92
Vaishali,6697,27.15,3610,27.15,53.90,27.15
