District,"Shishu
(Loans up to Rs. 50,000) Outstanding No.",Amt.,"Out of which under
NPA No.",Amt.,"Kishore
(Loans from Rs. 50,001 to Rs. 5.00 Lakh) Outstanding No.",Amt.,"Out of which under
NPA No.",Amt.,"Tarun
(Loans from Rs. 5.00 to Rs. 10.00 Lakh) Outstanding No.",Amt.,"Out of which under
NPA No.",Amt.,Total (Loans up to Rs. 10.00 Lakh) Outstanding No.,Amt.,"Out of which under
NPA No.",Amt.,% Age NPA No.,Amt.
Araria,123037,266.56,25062,45.35,121588,895.57,10438,58.34,5395,233.95,283,13.53,250020,1396.08,35783,117.22,14.31,8.40
Arwal,15961,34.75,2925,6.16,10577,92.47,1469,15.29,1232,75.99,140,8.95,27770,203.21,4534,30.40,16.33,14.96
Aurangabad,61343,142.78,15717,31.49,51971,392.07,7436,59.49,3482,209.23,293,15.00,116796,744.08,23446,105.98,20.07,14.24
Banka,60956,125.17,12748,21.30,47649,367.16,5705,34.39,2100,115.39,124,5.68,110705,607.72,18577,61.37,16.78,10.10
Begusarai,139931,295.70,30161,52.15,156935,976.51,15443,84.33,4652,268.93,427,17.54,301518,1541.14,46031,154.02,15.27,9.99
Bhagalpur,111920,241.60,14598,26.27,117646,905.72,9014,62.93,5609,336.71,391,18.67,235175,1484.03,24003,107.87,10.21,7.27
Bhojpur,53625,130.78,10425,26.23,50409,376.35,6138,54.64,3224,186.97,385,19.14,107258,694.10,16948,100.01,15.80,14.41
Buxar,42669,98.43,8588,19.19,40321,320.33,5219,55.59,2498,146.00,289,14.44,85488,564.76,14096,89.22,16.49,15.80
Darbhanga,124883,273.91,30764,56.52,148168,1180.38,14491,76.66,8687,354.92,370,17.48,281738,1809.21,45625,150.66,16.19,8.33
Gaya,189879,440.29,25767,52.09,170077,983.55,20653,174.66,10807,601.32,725,40.34,370763,2025.16,47145,267.09,12.72,13.19
Gopalganj,79274,167.41,19392,34.16,84671,740.46,9335,54.08,5329,244.12,228,11.43,169274,1151.99,28955,99.67,17.11,8.65
Jamui,59792,122.82,8873,16.56,53544,367.66,5160,33.83,2026,118.47,264,14.89,115362,608.95,14297,65.28,12.39,10.72
Jehanabad,24045,52.78,4938,12.10,24818,225.45,3080,32.40,2016,111.47,232,13.41,50879,389.70,8250,57.91,16.21,14.86
Kaimur (Bhabua),36373,79.86,7248,13.19,34500,252.35,3990,39.30,1953,116.25,239,11.42,72826,448.46,11477,63.91,15.76,14.25
Katihar,101745,214.46,13157,21.39,130440,962.36,8475,49.96,5990,280.05,294,14.49,238175,1456.87,21926,85.84,9.21,5.89
Khagaria,73352,164.66,21766,42.33,58660,404.64,7869,43.17,2164,118.11,181,7.82,134176,687.41,29816,93.32,22.22,13.58
Kishanganj,65766,140.53,4932,10.48,92755,713.50,2970,21.75,2344,94.19,136,5.49,160865,948.22,8038,37.72,5.00,3.98
Lakhisarai,22764,49.02,5056,9.62,25795,197.63,2623,15.70,1144,68.42,62,2.87,49703,315.07,7741,28.19,15.57,8.95
Madhepura,63836,130.30,15311,25.78,62997,520.99,7361,40.16,3573,148.36,194,7.69,130406,799.65,22866,73.63,17.53,9.21
Madhubani,133708,291.90,32538,60.90,111183,1100.53,11570,70.19,15574,549.99,373,18.77,260465,1942.42,44481,149.86,17.08,7.72
Munger,45981,101.85,9325,18.10,41467,307.12,5018,37.97,2200,138.30,259,13.97,89648,547.27,14602,70.04,16.29,12.80
Muzaffarpur,325767,666.67,63184,125.72,194538,1472.92,22308,138.84,14923,627.03,1080,53.16,535228,2766.62,86572,317.72,16.17,11.48
Nalanda,58847,128.17,8166,18.17,57163,503.53,7422,85.77,4849,291.21,571,30.62,120859,922.91,16159,134.56,13.37,14.58
Nawada,59253,137.25,12345,27.49,56990,392.68,6165,42.42,3576,199.96,414,21.51,119819,729.89,18924,91.42,15.79,12.53
Pashchim Champaran,145589,329.52,31382,55.78,124011,1050.61,10564,58.17,8336,315.94,400,20.02,277936,1696.07,42346,133.97,15.24,7.90
Patna,677202,1457.92,87968,192.85,247711,1842.75,27331,206.64,20130,1205.14,2530,128.75,945043,4505.81,117829,528.24,12.47,11.72
Purbi Champaran,129772,303.08,32748,60.04,131996,1025.09,15661,89.77,11650,508.70,558,25.63,273418,1836.87,48967,175.44,17.91,9.55
Purnia,95889,213.07,15617,28.98,121486,924.08,8377,52.65,8121,348.24,515,21.16,225496,1485.39,24509,102.79,10.87,6.92
Rohtas,97355,208.95,24151,44.05,69391,501.60,10033,88.18,5368,324.65,811,46.44,172114,1035.20,34995,178.67,20.33,17.26
Saharsa,59726,126.14,15614,27.05,60169,522.12,6115,39.64,3540,151.77,246,12.76,123435,800.03,21975,79.45,17.80,9.93
Samastipur,172369,370.95,40269,76.32,163043,1050.97,17817,94.73,5579,341.71,425,22.26,340991,1763.63,58511,193.31,17.16,10.96
Saran,140369,334.19,29280,54.41,148285,1022.01,15702,89.29,13882,547.02,519,27.67,302536,1903.22,45501,171.37,15.04,9.00
Sheikhpura,14849,33.35,2004,4.09,12990,121.33,1479,14.60,1129,71.11,102,5.41,28968,225.79,3585,24.10,12.38,10.67
Sheohar,14430,28.28,4332,6.79,11378,120.11,1710,15.23,1087,50.93,86,5.35,26895,199.32,6128,27.37,22.78,13.73
Sitamarhi,85223,184.21,24897,44.94,82886,755.92,10371,66.08,7088,294.47,342,17.17,175197,1234.60,35610,128.19,20.33,10.38
Siwan,125365,272.38,20891,37.77,112018,1003.93,9340,58.91,7039,338.11,426,24.65,244422,1614.42,30657,121.33,12.54,7.52
Supaul,39075,84.66,12552,23.53,46757,471.90,5403,34.98,4725,200.22,171,6.59,90557,756.78,18126,65.10,20.02,8.60
Vaishali,155054,334.21,30341,48.73,150541,1163.99,15588,86.86,11591,464.98,563,26.12,317186,1963.18,46492,161.71,14.66,8.24
