District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
East Garo Hills,28.32,107,604.68,207,273.9,95,245.36,75
East Jaintia Hills,3.51,13,675.05,145,383.79,71,322.16,54
East Khasi Hills,16.49,561,8536.91,1741,2578.38,454,2724.06,396
Eastern West Khasi Hills,6.69,21,449.83,115,134.97,20,191.57,19
North Garo Hills,23.19,101,714.48,251,318.87,113,99.91,31
Ri Bhoi,12.62,165,1826.21,573,565.68,212,518.24,149
South Garo Hills,26.82,129,748.58,225,346.27,72,199.21,27
South West Garo Hills,40.91,145,766.71,264,326.24,89,97.27,19
South West Khasi Hills,8.87,27,410.99,146,70,35,69.29,20
West Garo Hills,20.98,301,3877.79,942,2037.19,400,1274.9,235
West Jaintia Hills,8.13,105,2778.24,723,1070.57,279,810,178
West Khasi Hills,28.26,127,622.9,235,111.62,39,158.75,25
