District,Total Minority O/S Loan Amt,Total Minority O/S Loan No.,Jains Amt,Jains No.,Zoroastrians Amt,Zoroastrians No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,1761.15,778,6.02,1,2.27,1,6.05,11,22.81,2,963.9,323,760.1,440
East Jaintia Hills,9945.65,4485,205.84,3,0,0,72.44,2,2.15,2,1097.9,209,8567.32,4269
East Khasi Hills,147898.66,51328,312.8,33,0,0,3834.48,754,1130.19,207,10091.87,1935,132529.32,48399
North Garo Hills,979.38,546,0,0,0,0,0,0,0.78,1,243.98,53,734.62,492
Ri Bhoi,44549.16,19185,247.38,20,1.28,1,2489,35,236.17,34,23691.12,2413,17884.21,16682
South Garo Hills,740.99,508,0,0,0,0,0.51,1,0,0,47.11,10,693.37,497
West Garo Hills,47725.37,12541,3.84,2,0,0,62.08,19,31.25,13,12137.39,4054,35490.81,8453
West Jaintia Hills,24685.41,9280,0,0,0,0,12.47,8,0.46,2,355.28,112,24317.2,9158
West Khasi Hills,10913.95,7206,0,0,0,0,14.69,8,11.63,8,409.87,191,10477.76,6999
