District,NPS Amt.% NPA,Total Non-Priorityrityrityrity NPA Amt,Tot NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.95,520.49,245,26683.49,7338,21681.59,5751,3617.58,1352,1326.9,95,0,0,57.42,140
East Khasi Hills,0.52,4215.65,2491,804421.01,117988,597554.1,86823,102285,26061,95716.16,4534,8840.12,492,25.63,78
Ri Bhoi,1.3,2168.3,1271,166540.05,31303,132950.96,25708,9624.84,3973,23776.59,1601,184.51,6,3.15,15
West Garo Hills,2.05,2235.86,1432,109131.52,29245,79748.36,21871,14684.65,6106,14181.67,1011,419.18,10,97.66,247
West Khasi Hills,0.6,91.76,56,15270.57,4332,9831.09,2768,4097.52,1456,1318.52,106,23.44,2,0,0
