District,Operative CASA,Aadhaar Seeded CASA,Authenticated CASA
East Garo Hills,107021,56553,16148
East Jaintia Hills,141438,57153,7054
East Khasi Hills,1044111,330448,134375
Eastern West Khasi Hills,103784,42554,2070
North Garo Hills,135231,56480,10453
Ri Bhoi,288332,105909,12271
South Garo Hills,81592,40597,10076
South West Garo Hills,136132,75543,20789
South West Khasi Hills,79778,31590,1116
West Garo Hills,459639,198390,65360
West Jaintia Hills,306046,115053,27309
West Khasi Hills,149175,57776,6731
