District,Plantation & Horticulture Amt,Plantation Horticulture A/C No.,Farm Mechanization Amt,Farm Mechanization A/C,Forestry and Wasteland Dev Amt,Forestry and Wasteland Dev A/C No.,Crop Loan Amt,Crop Loan A/C
East Garo Hills,16.4,3,326.21,549,0,0,853.63,1048
East Jaintia Hills,5.47,1,239.01,85,1.96,1,409.88,526
East Khasi Hills,46.14,9,88.4,125,92.58,50,7051.94,7944
Eastern West Khasi Hills,16.4,3,2.08,9,0,0,1080.52,1450
North Garo Hills,10.93,2,0,0,0,0,1296.05,1582
Ri Bhoi,14.65,4,3,5,3.87,2,6491.07,8078
South Garo Hills,0,0,0,0,0,0,404.02,557
South West Garo Hills,10.93,2,121.37,302,0,0,733.95,882
South West Khasi Hills,16.4,3,0,0,0,0,628.39,841
West Garo Hills,32.8,6,794.22,1488,1.9,1,1718.93,2202
West Jaintia Hills,5.47,1,58.64,124,2.23,1,1788.76,1920
West Khasi Hills,16.4,3,0,0,2.99,1,1163.98,1640
