District,Inactive CSP,Rupay Card Active in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb Accounts,Rupay Card Issued in KCC
East Garo Hills,6,6610,4973,42866,1117
East Jaintia Hills,18,18789,11334,9379,26
East Khasi Hills,144,96377,103560,169459,5975
Eastern West Khasi Hills,10,12242,4079,4549,807
North Garo Hills,25,15245,13742,47853,548
Ri Bhoi,22,26028,11062,28580,7132
South Garo Hills,13,6754,5125,24873,43
South West Garo Hills,28,12772,8442,65482,1058
South West Khasi Hills,12,8647,702,7812,365
West Garo Hills,111,31173,23092,177513,2864
West Jaintia Hills,13,18020,5798,34734,1536
West Khasi Hills,10,13264,4397,10677,2383
