District,Overall CD Ratio,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advance,Adv Urban,Adv Semi-Urban,Adv Rural,Total Deposit,Dep Urban,Dep Semi-Urban,Dep Rural
East Garo Hills,70.49,81.67,67.72,74.66,37314.57,5461.05,26082.4,5771.12,52933.58,6686.86,38517.36,7729.36
East Jaintia Hills,25.5,,15.66,24.54,44273.53,4459.98,4932.35,34881.2,173622.25,0,31498.97,142123.28
East Khasi Hills,42.97,43.66,46.26,36.14,1137169.04,935002.41,90110.43,112056.2,2646563.73,2141677.38,194793.85,310092.5
Eastern West Khasi Hills,36.86,18.06,33.69,45.42,19552.01,1223.75,7706.34,10621.92,53038.75,6775.84,22876.92,23385.99
North Garo Hills,69.7,,55.19,77.2,30690.72,4.26,8289.43,22397.03,44031.31,0,15020.3,29011.01
Ri Bhoi,114.73,84.69,42.85,148.7,270027.63,5046.47,30828.77,234152.39,235363.14,5958.65,71942.86,157461.63
South Garo Hills,59.77,65.23,65.24,48.81,17941.56,2351.06,10715.01,4875.49,30017.01,3604.02,16424.51,9988.48
South West Garo Hills,67.93,,59.7,69.08,27044.96,0,2927.2,24117.76,39815.74,0,4903.02,34912.72
South West Khasi Hills,39.74,,33.55,40.7,14029.68,14.81,1650.42,12364.45,35301.96,0,4919.03,30382.93
West Garo Hills,59.43,47.46,60.15,61.25,154485.76,10091.71,97968.37,46425.68,259935.03,21261.42,162876.85,75796.76
West Jaintia Hills,31.1,23.39,39.77,25.42,91568.34,20071.26,51208.46,20288.62,294387.41,85811.53,128756.45,79819.43
West Khasi Hills,41.62,33.27,45.62,36.99,28959.06,3169.18,18895.01,6894.87,69587.32,9526.55,41419.52,18641.25
