District,Rabi insured Pmfby under Amt,Pmfby Rabi Farmers Covered No.,Kharif insured Pmfby under Amt,Pmfby Kharif Farmers Covered No.,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,0,0,35.98
East Jaintia Hills,0,0,62.17,103,344.19
East Khasi Hills,0,0,4.91,10,8551.42
North Garo Hills,0,0,0,0,47.53
Ri Bhoi,0,1,190.41,289,1805.44
South Garo Hills,0,0,6,12,45.1
West Garo Hills,0,2,0,0,854.55
West Jaintia Hills,0,0,31.01,44,3176.5
West Khasi Hills,29.64,38,183.68,339,3305.71
