District,Total MSME O/S Amt,Total MSME O/S No.,Other MSME Amt,Other MSME No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,4286.14,2100,62.68,201,0,0,234.4,19,3989.06,1880
East Jaintia Hills,15431.5,2376,21.3,35,0,0,2386.6,160,13023.6,2181
East Khasi Hills,260986.48,22408,287.35,136,60910.13,992,57670.36,1161,142118.64,20119
Eastern West Khasi Hills,3319.02,1424,29.31,63,0,0,306.86,14,2982.85,1347
North Garo Hills,3017.78,1864,14.61,5,4.27,1,39.09,7,2959.81,1851
Ri Bhoi,80763.64,5073,498.83,156,38103.27,295,21202.06,463,20959.48,4159
South Garo Hills,2000.68,1110,24.86,6,0,0,24.22,11,1951.6,1093
South West Garo Hills,3490.21,1467,2.78,3,0,0,359.93,97,3127.5,1367
South West Khasi Hills,2138.41,945,2.91,1,0,0,30.2,8,2105.3,936
West Garo Hills,23845.39,8466,165.78,186,194.04,4,3436.42,529,20049.15,7747
West Jaintia Hills,25555.73,6157,2.32,9,0,0,5856.07,556,19697.34,5592
West Khasi Hills,4919.58,2072,53.23,85,0,0,94.64,5,4771.71,1982
