District,Total Other PS O/S Amt,Total Other PS O/S No.,Other Amt. PS,No. Other PS,No. Renewable,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,677.62,855,93.56,749,0,16.03,6,461.53,68,106.5,32
East Khasi Hills,50216.39,18342,6827.88,12895,0,115.48,35,32572.28,3056,10700.75,2356
Ri Bhoi,10024.41,2362,413.08,1188,1,9.05,5,8647.44,805,954.84,363
West Garo Hills,5847.15,2534,266.29,1567,0,78.81,21,4771.62,674,730.43,272
West Khasi Hills,1657.53,286,51.81,7,0,2.61,1,1324.2,149,278.91,129
