District,total_deposit,total_advances,cd_ratio
Agra,60989.6,42695.66,70.0
Bahraich,9792.45,7460.14,76.18
Banda,8582.12,47.62,
Bareilly,35057.2,71.76,
Chandauli,9545.28,52.2,
Deoria,16236.36,6898.6,
Fatehpur,12169.58,6089.0,50.03
Hamirpur,5170.77,2861.86,55.35
Hapur,10217.05,6715.27,65.73
Jaunpur,22889.46,9330.21,40.76
Kannauj,6719.35,4202.71,62.55
Kanpur Dehat,3636.82,50.5,
Kasganj,4405.04,3116.17,70.74
Kaushambi,5702.19,2640.52,46.31
Lalitpur,4394.13,82.72,
Lucknow,282790.25,130431.55,
Mathura,16864.39,64.64,
Meerut,30978.19,57.01,
Mirzapur,12818.17,5998.57,46.8
Muzaffarnagar,18115.69,87.83,
Rae Bareli,18296.1,9230.21,
Sonbhadra,11986.1,50.73,
Varanasi,66165.03,36704.62,55.47
