District,sc_st_loans,sc_st_amount,women_loans,women_amount,total_loans,total_amount
Agra,2041.0,1027.0,17.56,797.0,11.11,747.0
Aligarh,605.0,344.0,6.0,237.0,3.73,192.0
Ambedkar Nagar,1852.0,14230.0,,,,
Amethi,976.0,8789.0,,,,
Ayodhya,2091.0,22660.0,,,,
Bahraich,613.0,262.0,5.01,137.0,2.37,
Ballia,2608.0,19796.0,,,,
Balrampur,2.12,23.76,19.85,19.85,63.46,1583.97
Banda,228.0,127.0,2.21,56.0,,
Barabanki,1505.0,916.0,15.89,784.0,376.0,201.0
Bareilly,3375.0,2103.0,36.83,1846.0,28.51,37.56
Basti,1538.0,15762.0,,,,
Bhadohi,197.0,64.0,1.06,44.0,0.62,44.0
Bijnor,422.0,801.0,4177.0,435.0,4612.0,0.88
Budaun,1878.0,17770.0,,,,
Bulandshahr,17987.0,108068.0,,,,
Deoria,519.0,296.0,333.0,,,
Etah,234.0,110.0,130.0,17.47,,
Etawah,1298.0,11600.0,,,,
Farrukhabad,415.0,187.0,,,,
Fatehpur,252.0,128.0,,,,
Firozabad,1573.0,17033.0,,,,
Ghaziabad,949.0,510.0,,,,
Ghazipur,513.0,279.0,,,,
Gonda,282.0,166.0,120.0,16.66,,
Hapur,223.0,48.95,164.0,32.7,,
Hardoi,1896.0,15919.0,,,,
Hathras,841.0,10514.0,,,,
Jalaun,990.0,9512.0,,,,
Jaunpur,1329.0,8113.0,6.0,23311.0,2.62,31.92
Jhansi,2623.0,23776.0,,,,
Kannauj,993.0,10851.0,,,,
Kanpur Dehat,19456.0,388.0,76504.0,9.03,124.58,61.92
Kanpur Nagar,2273.0,15.84,208.0,47901.0,6.07,54.75
Kaushambi,477.0,13120.0,,,,
Kheri,855.0,4308.0,1364.0,16127.0,2.77,36.73
Kushi Nagar,267.0,145.0,4.0,54451.0,6.01,68.66
Lalitpur,523.0,307.0,,,,
Lucknow,458.0,11924.0,5.0,29580.0,3.62,39.33
Maharajganj,865.0,14379.0,23.0,37925.0,6.27,76.0
Mahoba,273.0,38200.0,,,,
Mainpuri,476.0,4074.0,220.0,11130.0,1.38,45.97
Mau,3288.0,10283.0,1.28,15.05,8.83,8.83
Meerut,1305.0,649.0,1521.0,1535.0,0.22,3.17
Mirzapur,752.0,16730.0,490.0,75805.0,10.1,100.82
Moradabad,436.0,4348.0,8570.0,34.0,8604.0,1.83
Pilibhit,592.0,319.0,8.12,111.91,97.03,97.03
Pratapgarh,403.0,194.0,,,,
Prayagraj,1194.0,654.0,,,,
Rae Bareli,3131.0,1725.0,,,,
Rampur,951.0,288.0,425.0,10684.0,3.65,48.5
Saharanpur,469.0,1914.0,33.0,2920.0,0.41,5.31
Sambhal,371.0,2110.0,,,,
Sant Kabeer Nagar,195.0,91.0,54770.0,4.33,52.18,8.7
Shahjahanpur,1254.0,525.0,14608.0,3.8,53.3,159.9
Shamli,16.0,19.0,15.0,10.0,25.0,0.01
Shravasti,156.0,91.0,12.88,139.27,116.16,116.16
Siddharth Nagar,392.0,201.0,,,,
Sitapur,1301.0,784.0,16.81,,,
Sonbhadra,491.0,217.0,2.19,40.01,54.29,148.59
Sultanpur,320.0,101.0,0.78,43625.0,4.17,53.4
Unnao,921.0,463.0,,,,
Varanasi,597.0,7058.0,1789.0,21303.0,2.27,25.37
