District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,981588.0,23815.41,108714.0,9.0,0.0,100.0
Aligarh,404185.0,11225.66,56260.0,1149.49,13.92,10.24
Ambedkar Nagar,201757.0,3194.63,14406.0,246.46,7.14,7.71
Amethi,306916.0,3320.41,48919.0,418.51,15.94,12.6
Amroha,215676.0,4825.49,30912.0,624.3,14.33,12.94
Auraiya,1.0,3.0,1.0,2.0,1.0,100.0
Ayodhya,3.0,3.0,3.0,100.0,,
Azamgarh,303520.0,4964.68,20378.0,409.98,6.71,8.26
Baghpat,176929.0,3041.91,24658.0,426.27,13.94,14.01
Bahraich,263920.0,5727.8,49788.0,742.26,18.86,12.96
Ballia,199608.0,3096.17,85563.0,157.39,4.29,5.08
Balrampur,121053.0,11925.0,251.66,9.85,10.7,0.0
Banda,2840.16,8610.0,121.18,5.57,4.27,
Barabanki,313586.0,6334.5,27048.0,486.0,8.63,7.67
Bareilly,736660.0,14315.49,272764.0,2679.76,37.03,18.72
Basti,201820.0,3245.51,9029.0,165.68,4.47,5.1
Bhadohi,117713.0,10185.0,416.62,8.65,15.55,100.0
Bijnor,415736.0,8914.47,113559.0,1497.65,27.32,16.8
Budaun,283132.0,5592.42,25186.0,361.32,8.9,6.46
Bulandshahr,366765.0,8478.7,49335.0,616.74,13.45,7.27
Chandauli,2.0,4.0,2.0,2.0,2.0,0.0
Chitrakoot,1.0,2.0,1.0,1.0,1.0,0.0
Deoria,2.0,2.0,2.0,0.0,2.0,100.0
Etah,4.0,9.0,4.0,5.0,4.0,0.0
Etawah,4.0,6.0,2.0,4.0,0.0,100.0
Farrukhabad,3.0,3.0,0.0,3.0,0.0,100.0
Fatehpur,2.0,2.0,2.0,0.0,100.0,103.57
Firozabad,6.0,10.0,6.0,4.0,6.0,100.0
Gautam Buddha Nagar,1.0,2.0,1.0,1.0,0.0,100.0
Ghaziabad,256226.0,24932.85,32738561033.0,10.0,0.0,100.0
Ghazipur,281132.0,5051.27,30069.0,0.0,3.0,0.0
Gonda,4712.54,12767.0,66.67,1.0,23.0,95.83
Gorakhpur,80.0,101.0,86.0,15.0,86.0,107.5
Hamirpur,2205.12,6266.0,2.0,3.0,100.0,100.0
Hapur,148609.0,4336.49,33963.0,100.0,100.0,
Hardoi,7.0,8.0,6.0,2.0,85.71,3.0
Hathras,2.0,3.0,2.0,1.0,100.0,54.58
Jalaun,3070.03,8843.0,4.0,3.0,4.0,0.0
Jaunpur,3.0,5.0,3.0,2.0,66.67,100.0
Jhansi,87.0,89.0,87.0,2.0,87.0,100.0
Kannauj,3.0,2.0,2.0,2.0,66.67,100.0
Kanpur Dehat,15.0,20.0,17.0,3.0,16.0,1.0
Kasganj,3.0,4.0,3.0,1.0,22.0,100.0
Kaushambi,2.0,3.0,100.0,78.51,76.07,
Kheri,395888.0,8527.2,65188.0,1417.62,16.47,16.62
Kushi Nagar,3.0,3.0,3.0,3.0,100.0,0.0
Lalitpur,1.0,3.0,2.0,100.0,16.0,0.0
Lucknow,820433.0,42679.63,172826.0,3406.57,21.07,7.98
Maharajganj,4647.0,4752.0,4054.0,4200.14,87.24,88.39
Mahoba,2.0,2.0,2.0,2.0,100.0,0.0
Mainpuri,1.0,1.0,1.0,1.0,0.0,100.0
Mathura,4.0,12.0,4.0,8.0,4.0,100.0
Mau,2.0,4.0,2.0,2.0,2.0,0.0
Meerut,468633.0,16852.02,98195.0,2138.44,20.95,
Mirzapur,3986.68,11908.0,6.05,4.0,100.0,
Moradabad,6.0,9.0,6.0,6.0,0.0,100.0
Muzaffarnagar,429367.0,92457.0,1745.05,53.1,62.95,
Pilibhit,261821.0,5150.06,20.31,0.0,3.0,0.0
Pratapgarh,1.0,1.0,1.0,0.0,1.0,0.0
Prayagraj,12748.66,43441.0,9.51,0.0,5.0,125.0
Rae Bareli,2.0,1.0,1.0,100.0,44.82,
Rampur,234645.0,60426.0,1297.3,23.85,6.0,100.0
Saharanpur,484761.0,10862.1,120709.0,2023.07,24.9,18.63
Sambhal,0.0,0.0,97.78,798.1,43.85,34.9
Sant Kabeer Nagar,2606.0,2666.0,2278.0,2494.72,87.41,93.58
Shahjahanpur,144249.0,2076.5,100.0,,,
Shamli,262829.0,906.88,759.0,731.06,49.38,46.53
Shravasti,88604.0,1226.47,11931.0,13.47,12.13,
Siddharth Nagar,2.0,0.0,2.0,100.0,,
Sitapur,3612.0,820.0,917.71,23.22,25.41,
