District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no
Aligarh,247399.0,557.0,416641.0,,
Bahraich,1157.0,1018.0,88.0,,
Ballia,728.0,655.0,,,
Banda,142417.0,276992.0,,,
Barabanki,2188.0,1969.0,189.0,484.0,292.0
Bareilly,3685.0,3349.0,43.0,,
Bhadohi,404.0,361.0,34.0,16.0,
Bijnor,1472.0,1357.0,185.0,110.0,
Budaun,1398.0,1255.0,,,
Bulandshahr,99.0,72.0,,,
Chandauli,384.0,360.0,,,
Etah,1816.0,1629.0,112.0,,
Etawah,350.0,318.0,17.0,92.0,
Fatehpur,1209.0,1103.0,59.0,,
Ghaziabad,2092.0,1947.0,121.0,,
Hathras,374.0,341.0,,,
Jalaun,665.0,626.0,122.0,96.0,
Jaunpur,161.0,102.0,,,
Jhansi,836.0,767.0,35.0,,
Kanpur Nagar,1952.0,1766.0,,,
Kheri,4335.0,3763.0,22.0,,
Kushi Nagar,591.0,519.0,44.0,8.0,
Shravasti,318.0,279.0,,,
Siddharth Nagar,210.0,191.0,,,
