District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18,subscribers_fy19
Ballia,226.0,97.31,,,
Barabanki,249.0,21715.0,143.32,,
Bareilly,376.0,32230.0,104.08,,
Basti,173.0,135.96,,,
Chandauli,162.0,13995.0,99.69,,
Chitrakoot,78.0,123.3,,,
Etah,134.0,107.2,,,
Etawah,10860.0,12662.0,116.59,75760.0,
Hathras,132.0,11620.0,8063.0,69.39,
Jalaun,132.0,11700.0,10714.0,91.57,
Kasganj,87.0,7280.0,7646.0,105.03,71111.0
Muzaffarnagar,23720.0,18726.0,78.95,,
Sant Kabeer Nagar,123.0,10880.0,178.2,,
Shamli,79.0,6935.0,6736.0,97.13,
Shravasti,71.0,113.42,,,
Sonbhadra,162.0,13225.0,11202.0,84.7,96501.0
Sultanpur,211.0,18710.0,,,
