District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,54.0,17.0,40.0,111.0
Bhadradri Kothagudem,67.0,116.0,0.0,183.0
Hanumakonda,37.0,20.0,114.0,171.0
Hyderabad,2.0,2.0,1163.0,1167.0
Jagitial,68.0,37.0,29.0,134.0
Jangoan,32.0,33.0,1.0,66.0
Jayashankar Bhupalapally,28.0,24.0,0.0,52.0
Jogulamba Gadwal,22.0,40.0,0.0,62.0
Kamareddy,74.0,65.0,1.0,140.0
Karimnagar,92.0,41.0,91.0,224.0
Khammam,97.0,65.0,95.0,257.0
Kumuram Bheem Asifabad,42.0,14.0,1.0,57.0
Mahabubabad,25.0,49.0,1.0,75.0
Mahabubnagar,50.0,26.0,63.0,139.0
Mancherial,50.0,75.0,7.0,132.0
Medak,59.0,51.0,2.0,112.0
Medchal Malkajgiri,43.0,115.0,531.0,689.0
Mulugu,26.0,12.0,0.0,38.0
Nagarkurnool,48.0,43.0,1.0,92.0
Nalgonda,94.0,46.0,97.0,237.0
Narayanpet,27.0,29.0,0.0,56.0
Nirmal,58.0,35.0,4.0,97.0
Nizamabad,150.0,57.0,86.0,293.0
Peddapalli,43.0,47.0,29.0,119.0
Rajanna Sircilla,41.0,30.0,6.0,77.0
Ranga Reddy,156.0,109.0,558.0,823.0
Sangareddy,90.0,127.0,41.0,258.0
Siddipet,76.0,47.0,37.0,160.0
Suryapet,64.0,55.0,44.0,163.0
Vikarabad,58.0,48.0,3.0,109.0
Wanaparthy,23.0,37.0,1.0,61.0
Warangal,42.0,23.0,74.0,139.0
Yadadri Bhuvanagiri,57.0,55.0,3.0,115.0
