District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,111.0,1755.76,643.06,2584.16,4982.98,2307.6,992.9,4030.42,7330.92,147.12
Bhadradri Kothagudem,183.0,1352.5,6443.76,0.0,7796.26,2335.83,7668.74,279.88,10284.45,131.92
Hanumakonda,171.0,957.47,710.87,14594.06,16262.4,1953.04,1961.13,16641.65,20555.82,126.4
Hyderabad,1167.0,9.51,263.24,428323.6,428596.3,137.63,484.44,508761.9,509384.0,118.85
Jagitial,134.0,1901.06,2259.19,1887.97,6048.22,3236.3,2907.23,2631.42,8774.95,145.08
Jangoan,66.0,779.58,1248.04,7.93,2035.55,2318.39,3313.41,84.5,5716.3,280.82
Jayashankar Bhupalapally,52.0,679.14,1296.51,0.0,1975.65,1212.06,1472.27,48.71,2733.04,138.34
Jogulamba Gadwal,62.0,532.2,1571.45,0.0,2103.65,1646.12,2928.18,106.27,4680.57,222.5
Kamareddy,140.0,1386.66,2705.37,15.86,4107.89,3234.34,4859.28,111.66,8205.28,199.74
Karimnagar,224.0,3890.5,2259.32,7276.62,13426.44,4582.53,2698.16,10418.33,17699.02,131.82
Khammam,257.0,2382.32,2204.99,6775.9,11363.21,5345.06,4663.33,13125.74,23134.13,203.59
Kumuram Bheem Asifabad,57.0,1574.16,801.83,16.86,2392.85,1485.33,555.39,78.72,2119.44,88.57
Mahabubabad,75.0,547.7,1730.93,10.41,2289.04,1697.76,4466.66,124.99,6289.41,274.76
Mahabubnagar,139.0,1045.6,880.42,4161.71,6087.73,2651.15,2087.07,6979.21,11717.43,192.48
Mancherial,132.0,2904.89,5454.38,377.38,8736.65,2472.01,5529.14,497.5,8498.65,97.28
Medak,112.0,993.09,1745.3,7.76,2746.15,2504.94,3663.71,394.91,6563.56,239.01
Medchal Malkajgiri,689.0,3263.59,9613.61,115411.7,128288.9,3247.21,10727.73,136451.9,150426.8,117.26
Mulugu,38.0,782.16,369.76,0.0,1151.92,1176.54,601.62,19.21,1797.37,156.03
Nagarkurnool,92.0,1258.33,1763.23,17.85,3039.41,2935.66,3875.14,142.68,6953.48,228.78
Nalgonda,237.0,2260.28,1523.94,6208.04,9992.26,6558.78,3678.4,12539.62,22776.8,227.94
Narayanpet,56.0,606.92,1071.91,0.0,1678.83,1512.24,1779.21,74.29,3365.74,200.48
Nirmal,97.0,1613.25,1824.39,61.58,3499.22,3164.41,3911.71,329.37,7405.49,211.63
Nizamabad,293.0,3334.97,2439.18,5363.34,11137.49,7412.51,4723.93,8329.63,20466.07,183.76
Peddapalli,119.0,2048.25,2381.88,3101.24,7531.37,2109.89,3468.81,2222.13,7800.83,103.58
Rajanna Sircilla,77.0,1079.0,2103.14,841.49,4023.63,2107.27,2353.67,859.64,5320.58,132.23
Ranga Reddy,823.0,10793.4,5736.6,84420.11,100950.1,10259.3,8562.16,92359.34,111180.8,110.13
Sangareddy,258.0,5700.8,6948.87,6941.04,19590.71,6158.34,17876.35,8801.29,32835.98,167.61
Siddipet,160.0,1903.13,1836.13,1969.57,5708.83,3927.9,3291.08,3732.36,10951.34,191.83
Suryapet,163.0,1387.02,1891.68,1803.51,5082.21,4375.98,5227.63,4860.34,14463.95,284.6
Vikarabad,109.0,1348.59,2142.36,37.52,3528.47,2632.11,3768.27,260.27,6660.65,188.77
Wanaparthy,61.0,455.95,1655.82,15.21,2126.98,1319.47,3167.28,100.71,4587.46,215.68
Warangal,139.0,817.85,713.52,6747.57,8278.94,2389.04,2316.54,7871.7,12577.28,151.92
Yadadri Bhuvanagiri,115.0,1335.64,2458.19,75.84,3869.67,3159.77,4618.52,324.66,8102.95,209.4
