District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,187757.0,26.58,326.5,162.11,10.0,43.05,147.0,259.57,48.68,1042.25,371.1,51.71,54732.0,731.74,45.9,3008.48,1398.99,48.63,8.14,23.23,533.17,717.65,1594.32,2876.51
Bhadradri Kothagudem,307088.0,32.88,406.4,324.17,23.37,150.5,262.0,237.14,108.77,997.59,1093.05,110.42,122163.0,1598.65,113.68,5521.1,2985.09,113.16,8.09,15.53,218.02,989.94,1406.28,2637.86
Hanumakonda,219670.0,483.44,115.8,216.56,74.04,157.2,1019.0,994.53,164.79,4325.65,1390.33,190.15,170467.0,4482.82,184.0,12255.82,7425.16,175.3,417.59,47.1,603.53,731.19,2436.31,4235.72
Hyderabad,177060.0,5334.56,0.0,290.65,749.6,82.68,8564.0,14735.59,130.7,55070.01,10659.69,78.77,2588405.0,272570.11,120.96,414289.59,304049.55,121.11,0.0,906.62,11274.0,13533.0,225345.0,251059.0
Jagitial,260990.0,59.13,949.1,323.1,23.18,115.2,368.0,185.76,139.08,730.82,720.79,185.26,111715.0,775.19,53.33,3090.79,1764.05,88.09,6.23,20.12,133.56,389.07,1453.53,2002.51
Jangoan,175793.0,50.09,866.6,126.91,8.71,177.4,126.0,155.21,159.21,591.09,298.35,181.78,35355.0,377.1,149.98,1810.98,889.46,169.83,5.78,4.91,97.49,164.13,251.43,523.74
Jayashankar Bhupalapally,,1.35,177.6,,4.03,147.1,,65.35,153.76,,257.54,246.21,,265.95,147.61,,594.22,179.65,0.76,2.74,42.5,104.6,180.17,330.77
Jogulamba Gadwal,164204.0,59.88,1358.0,118.63,7.53,238.3,89.0,105.47,163.27,407.42,301.99,266.96,27961.0,316.14,129.52,1450.83,791.01,184.22,4.41,3.16,64.6,113.12,244.09,429.38
Kamareddy,335391.0,17.88,219.1,334.44,10.41,142.6,183.0,228.01,158.56,935.14,479.14,171.36,51149.0,585.47,161.13,2639.92,1320.91,164.65,8.16,7.3,143.8,279.61,363.36,802.23
Karimnagar,287335.0,152.47,251.4,261.45,61.7,136.4,937.0,621.93,145.9,2543.94,1093.79,145.62,199104.0,2406.66,165.34,8303.72,4336.55,158.34,60.64,45.25,426.28,751.13,1455.54,2738.84
Khammam,567550.0,96.16,355.9,597.05,93.66,130.3,1417.0,1048.31,184.25,4484.43,1344.28,250.7,171553.0,2429.19,142.15,10726.99,5011.6,172.05,27.02,71.87,568.96,536.22,1708.84,2912.91
Kumuram Bheem Asifabad,99142.0,12.16,185.1,65.22,1.09,187.9,15.0,40.98,284.98,138.74,81.53,117.12,10890.0,160.07,168.8,539.47,295.83,159.07,6.57,0.58,14.38,69.61,94.83,185.97
Mahabubabad,266353.0,30.41,707.2,233.32,7.95,148.3,154.0,113.81,106.79,386.46,376.79,353.23,46690.0,460.44,148.8,1621.47,989.4,185.86,4.3,5.36,106.57,106.67,309.43,532.33
Mahabubnagar,260511.0,58.75,324.6,183.86,31.51,157.3,479.0,445.84,157.67,2060.09,908.22,231.21,105008.0,1177.59,142.22,5636.08,2621.91,170.07,18.1,20.03,282.76,392.81,827.99,1541.69
