District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,5.0,0.0,0.0,788.24,4.74,9.62,426.0,40.31,43.07,328.29,0.3,1.46,202.0,2.82,32.16,93.51,80.59,0.0,2965.1,572.21,3537.31,251.75,325.36,4114.42,1195.5,3134.1,57.17,0.0,49.27,93.6,20.61,8.77,0.0,5482.17
Bhadradri Kothagudem,2.0,0.0,0.0,763.53,11.07,7.69,1194.0,8.91,2.54,176.36,0.05,0.1,307.0,3.77,11.23,121.49,145.78,0.0,2423.76,1080.13,3503.89,109.65,341.07,3954.61,710.94,3960.63,75.55,0.0,143.92,350.83,48.62,33.57,0.0,5242.49
Hanumakonda,56.0,0.0,0.0,2861.19,24.96,33.02,2595.0,34.68,8.6,647.56,0.31,0.32,226.0,3.83,233.54,101.75,77.07,0.0,1736.46,994.4,2730.86,144.52,680.84,3556.22,3280.36,6214.58,83.83,0.0,75.58,403.2,96.22,1.64,0.0,7413.22
Hyderabad,143.0,237.01,53.9,71094.8,79.75,7.19,9064.0,1173.93,38.64,7843.0,315.24,61.82,224.0,44.08,97.52,906.47,587.27,70.23,0.0,0.0,0.0,0.0,0.0,0.0,59758.43,81746.1,124.35,439.99,1108.88,3037.98,509.95,45.2,836.16,65736.59
Jagitial,40.0,0.0,0.0,713.66,12.33,34.12,1009.0,45.83,34.62,442.07,0.35,0.62,454.0,3.86,11.92,105.13,104.49,0.0,2484.99,850.95,3335.94,223.4,1111.58,4670.92,898.85,4411.19,75.59,8.51,36.14,132.37,56.63,32.38,0.0,5835.8
Jangoan,10.0,0.0,0.0,288.2,8.21,26.8,479.0,17.16,25.06,174.11,0.0,0.0,22.0,0.43,39.81,48.51,47.34,0.0,1840.07,940.93,2781.0,148.91,547.79,3477.7,459.65,2970.98,73.43,0.0,30.64,68.47,8.33,1.08,0.0,4045.87
Jayashankar Bhupalapally,,0.0,0.0,,7.23,40.14,,3.14,6.07,,0.0,0.0,,0.12,14.12,,38.36,0.0,1344.57,372.81,1717.38,99.1,238.94,2055.42,96.73,1329.1,59.49,0.0,18.01,51.76,11.52,0.85,0.0,2234.29
Jogulamba Gadwal,2.0,0.0,0.0,377.58,5.43,35.51,448.0,11.81,10.49,103.29,0.0,0.0,4.0,0.07,0.97,19.23,26.22,0.0,3520.34,667.56,4187.9,111.91,415.8,4715.61,474.49,2735.79,51.17,0.0,15.29,112.6,20.97,7.19,0.0,5346.15
Kamareddy,37.0,0.0,0.0,582.0,8.38,22.06,781.0,33.8,22.38,348.42,0.3,1.46,24.0,0.48,12.47,63.82,46.0,0.0,3856.02,840.28,4696.3,132.46,489.09,5317.85,701.06,4187.57,67.19,0.0,37.99,151.02,20.49,3.85,0.0,6232.26
Karimnagar,14.0,0.0,0.0,2808.06,17.11,38.42,1545.0,166.21,86.58,765.53,4.14,22.64,660.0,4.28,9.59,249.05,176.35,0.0,2628.83,1192.3,3821.13,119.49,759.27,4699.89,2997.07,7290.49,91.17,0.0,44.53,191.98,18.29,44.62,0.0,7996.38
Khammam,11.0,0.0,0.0,2541.61,29.43,46.68,2364.0,79.67,68.44,791.18,2.0,6.31,710.0,16.22,82.46,279.09,272.97,0.0,3817.92,2358.57,6176.49,144.63,703.14,7024.26,2591.52,10465.18,106.28,0.0,63.05,116.41,31.68,19.67,0.0,9846.59
Kumuram Bheem Asifabad,0.0,0.0,0.0,179.29,1.33,3.47,148.0,2.42,3.1,37.7,0.0,0.0,32.0,0.12,1.07,21.12,18.9,0.0,1987.28,363.53,2350.81,118.38,281.54,2750.73,260.02,1333.32,42.1,0.0,38.38,78.04,28.7,11.21,0.0,3167.08
Mahabubabad,11.0,0.0,0.0,418.98,7.98,59.15,553.0,7.35,29.33,132.74,0.94,10.12,28.0,0.54,46.15,85.67,102.54,0.0,2041.79,840.31,2882.1,137.76,714.76,3734.62,701.92,3728.12,83.11,0.0,13.49,25.06,9.29,1.17,0.0,4485.55
Mahabubnagar,10.0,0.0,0.0,1398.82,9.18,71.89,957.0,56.0,55.83,533.05,0.31,1.95,51.0,0.99,6.47,50.02,55.59,0.0,3639.15,1162.41,4801.56,101.21,584.24,5487.01,1775.29,4601.77,62.13,0.0,12.77,100.31,15.86,15.31,0.0,7406.55
Mancherial,18.0,0.0,0.0,856.76,8.53,6.17,848.0,35.08,13.05,391.54,0.0,0.0,76.0,1.23,9.03,70.28,74.38,0.0,2879.9,656.28,3536.18,173.83,294.17,4004.18,826.19,3183.25,60.19,0.0,138.28,268.72,37.26,13.62,0.0,5288.25
