District,upto_q4_fy_2024_25_no,approved_amt,cumulative_as_on_31_03_2025_no
Adilabad,5249.0,276.28,11777.0
Bhadradri Kothagudem,1219.0,77.31,3501.0
Hanumakonda,3136.0,238.04,13964.0
Hyderabad,34698.0,6648.66,108363.0
Jagitial,1325.0,113.08,2316.0
Jangoan,631.0,51.13,1336.0
Jayashankar Bhupalapally,337.0,27.66,1048.0
Jogulamba Gadwal,411.0,41.16,1440.0
Kamareddy,1153.0,91.25,2772.0
Karimnagar,5437.0,310.55,15218.0
Khammam,3844.0,237.92,13923.0
Mahabubabad,4566.0,174.6,5338.0
Mahabubnagar,1707.0,158.65,14125.0
Mancherial,743.0,65.28,1634.0
Medak,4850.0,337.05,11986.0
Medchal Malkajgiri,1735.0,330.84,4697.0
Nagarkurnool,354.0,38.02,898.0
Nalgonda,6187.0,399.33,20247.0
Nirmal,760.0,79.95,2068.0
Nizamabad,3790.0,265.78,12077.0
Peddapalli,613.0,77.26,1644.0
Rajanna Sircilla,363.0,26.49,1145.0
Ranga Reddy,6630.0,867.98,35505.0
Sangareddy,1615.0,180.29,3977.0
Siddipet,1755.0,120.21,3402.0
Suryapet,1031.0,89.83,3112.0
Vikarabad,539.0,31.54,1501.0
Wanaparthy,557.0,36.85,949.0
Warangal,896.0,110.95,3090.0
Yadadri Bhuvanagiri,700.0,56.46,1900.0
