District,cd_ratio
Alluri Sitharama Raju,118.0
Anakapalli,154.0
Anantapur,149.0
Annamayya,140.0
Bapatla,182.0
Chittoor,110.0
East Godavari,164.0
Eluru,176.0
Guntur,126.0
Kakinada,136.0
Konaseema,177.0
Krishna,180.0
Kurnool,145.0
Nandyal,190.0
Ntr,183.0
Palnadu,216.0
Parvathipuram Manyam,152.0
Prakasam,193.0
Spsr Nellore,162.0
Sri Sathya Sai,155.0
Srikakulam,136.0
Tirupati,83.0
Visakhapatanam,124.0
Vizianagaram,142.0
West Godavari,188.0
Y.s.r.,152.0
