district,sr,total_deposit,total_advances,c_d_ratio_pct
Almora,12,803200,216400,27
Bageshwar,13,245900,59500,24
Chamoli,9,498500,137700,28
Champawat,7,289800,102900,35
Dehradun,5,8889600,3497400,39
Haridwar,2,2897900,1750400,60
Nainital,3,2383700,1336000,56
Pauri Garhwal,11,1152900,311700,27
Pithoragarh,6,567800,198000,33
Rudraprayag,10,288200,80700,28
Tehri Garhwal,8,721700,244300,34
Udham Singh Nagar,1,2085600,2090900,100
Uttarkashi,4,288600,144700,50
