district,sr
Almora,1
Bageshwar,2
Chamoli,3
Champawat,4
Dehradun,5
Haridwar,6
Nainital,7
Pauri Garhwal,8
Pithoragarh,9
Rudraprayag,10
Tehri Garhwal,11
Udham Singh Nagar,13
Uttarkashi,12
