district,no_of_financial_literacy_centres_flcs,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_21_no_of_flc_ii,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_21_no_of_benefic_iaries_ii,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_22_no_of_flc_ii,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_22_no_of_benefic_iaries_ii,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_23_no_of_flc_ii,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_march_23_no_of_benefic_iaries_ii,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_flc_ii,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_benefic_iaries_ii,implementation_of_centre_for_financial_literacy_cfl_at_block_level_in_phase_i_no_of_benefic_iaries_iii,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,1,49,1029,11,283,21,723,21,784,4,346,664,137,245
Bageshwar,1,29,706,74,1547,34,982,36,1373,1,312,631,10,14
Chamoli,1,52,1260,35,838,23,532,21,525,3,314,614,212,370
Champawat,1,31,865,68,1726,20,611,21,614,1,243,499,109,186
Dehradun,1,222,6439,103,4885,28,1749,29,1319,2,331,587,47,58
Haridwar,1,47,1296,77,2078,21,643,22,676,2,372,759,168,249
Nainital,1,75,2232,98,1762,54,1619,30,1000,3,308,556,151,261
Pauri Garhwal,1,34,355,284,852,25,409,25,367,5,248,508,74,131
Pithoragarh,1,29,769,72,1728,26,614,24,614,3,221,460,114,195
Rudraprayag,1,54,1268,113,3567,22,682,30,821,1,205,405,109,196
Tehri Garhwal,2,42,812,60,983,57,1101,54,1282,3,297,563,46,80
Udham Singh Nagar,2,0,0,215,2250,39,1100,76,7876,2,410,822,158,250
Uttarkashi,1,21,474,38,695,22,531,21,485,2,190,343,33,50
