district,total_no_of_shg,out_of_1_no_of_shgs_credit_linkage,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_of_shg_no_of_credit_linked_shgs,total_no_of_jlg,loan_o_s_to_jlgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_of_jlg_no_of_jlgs,no_of_beneficiaries,out_of_i_no_of_bank_credit_linked_ii,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,4836,2888,112000,229,0.99,43525,392,88,49,47,0,0
Bageshwar,4106,2338,112000,45,0.16,37978,814,615,165,112,30,10
Chamoli,4599,2930,123000,45,0.34,75500,2251,1845,21,107,3,8
Champawat,3226,2080,97000,508,7.62,150180,973,780,40,61,0,0
Dehradun,4441,2463,122300,23626,101.48,42952,2895,2547,5989,7101,0,0
Haridwar,5570,2088,128800,47642,217.97,45753,564,65,110,114,0,0
Nainital,3878,1597,117000,10185,37.41,36737,1468,1015,0,0,0,0
Pauri Garhwal,6749,5022,92000,1328,6.56,49400,7271,5299,154,122,14,6
Pithoragarh,4388,3207,95000,362,1.54,41566,2017,987,456,614,90,50
Rudraprayag,1921,1247,100000,68,0.29,42647,2113,1488,104,76,10,3
Tehri Garhwal,6075,3692,90000,525,6.78,119730,450,86,125,35,29,5
Udham Singh Nagar,5086,3025,115000,28900,108.46,37530,3680,3320,2850,2480,150,70
Uttarkashi,3881,3038,118000,99,0.84,86000,2542,1926,27,20,0,0
