district,no_of_atm_cum_debit_cards_mar_22_i_no,no_of_atm_cum_debit_cards_22_i_no,no_of_internet_banking_subscribers_mar_21_ii_no,no_of_internet_banking_subscribers_mar_23_ii_no,no_of_internet_banking_subscribers_23_ii_no,no_of_mobile_banking_subscribers_mar_21_iii_no,no_of_mobile_banking_subscribers_mar_23_iii_no,no_of_mobile_banking_subscribers_23_iii_no,no_of_aeps_subscribers_mar_21_iv_no,no_of_aeps_subscribers_mar_23_iv_no,no_of_aeps_subscribers_23_iv_no,sr,digital_coverage_for_individuals_sb_accounts_pct_debit_rupay_cards_coverage,digital_coverage_for_individuals_sb_accounts_pct_net_banking_coverage,digital_coverage_for_individuals_sb_accounts_pct_net_aadhar_enabled_payment_system_aeps,digital_coverage_for_individuals_sb_accounts_pct_of_eligible_operative_a_c_digitally_covered_with_atleast_one_of_the_facilities_out_of_total_operative_savings_a_c,digital_coverage_for_business_current_accounts_pct_net_banking_coverage,digital_coverage_for_business_current_accounts_pct_of_pos_qr_coverage,digital_coverage_for_business_current_accounts_pct_of_eligible_operative_a_c_digitally_covered_with_atleast_one_of_the_facilities_out_of_total_operative_current_business_a_c
Almora,5.35,5.73,1.79,2.15,2.32,2.07,2.38,2.45,1.23,1.62,1.72,,,,,,,,
Bageshwar,2.35,2.88,1.26,1.32,1.33,0.85,0.9,1,0.85,1.14,1.21,1,64.99,26.04,63.63,84.55,44.43,28.37,59.56
Chamoli,3.96,3.98,1.44,1.49,1.59,1.14,1.22,1.27,1.14,1.49,1.62,2,66.52,32.91,76.23,90.53,38.17,31.44,57.53
Champawat,2.21,2.27,0.49,0.62,0.63,0.84,0.93,0.94,0.84,0.9,0.91,3,48.52,28.62,49.75,65.78,29.76,13.56,38.82
Dehradun,18.1,20.2,3.84,4.95,5.5,2.42,3.8,3.9,2.42,2.9,2.95,4,73.97,43.21,58.03,88.83,60.59,25.92,76.32
Haridwar,17.58,20.01,3.84,4.62,4.91,2.26,2.46,2.51,9.25,10.67,10.73,5,67.19,26.91,61.83,87.48,59.7,22.07,73.18
Nainital,7.1,7.75,2.86,3.18,3.21,1.46,1.94,2.08,1.46,2.12,2.41,6,69.95,24.33,60.21,86.22,76.69,61.33,84.25
Pauri Garhwal,4.27,4.3,1.72,1.79,1.8,1.32,1.36,1.36,1.32,1.39,1.4,8,62.67,39.1,69.64,86.52,53.37,23.57,69.16
Pithoragarh,3.62,3.87,1.05,1.42,1.46,0.62,0.91,0.92,0.62,0.83,0.84,9,54.27,29.2,61.52,72.67,36.22,20.26,50.01
Rudraprayag,2.28,3.28,0.16,0.21,0.24,0.4,0.48,0.51,0.4,0.55,0.6,10,64.69,23,73.87,89.36,41.46,16.51,58.2
Tehri Garhwal,4.76,4.79,1.57,1.6,1.61,0.75,0.85,0.87,0.75,0.85,0.87,7,56.52,17.54,62.49,79.59,47.71,37.63,63
Udham Singh Nagar,17.61,20.39,5.79,6.4,6.51,2.14,2.73,2.86,1.7,2.31,2.33,12,64.24,23.03,54.92,82.07,61.52,20.62,75.18
Uttarkashi,3.75,3.86,0.52,0.6,0.61,0.76,83,0.84,0.76,0.91,0.94,,,,,,,,
