district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pm_jdy_a_c_p_er_one_lak_h_population_ii_no,no_of_wom_en_bsbda_per_one_la_kh_population_iii_march_dec_2021_2022_2023,no_of_pmjdy_accounts_male,no_of_pmjdy_accounts_female,out_of_total_pmjdy_enrolment_of_pmjjby_male,out_of_total_pmjdy_enrolment_of_pmjjby_female,out_of_total_pmjdy_enrolment_of_pmsby_male,out_of_total_pmjdy_enrolment_of_pmsby_female,out_of_total_pmjdy_enrolment_of_apy_male,out_of_total_pmjdy_enrolment_of_apy_female,49214_53316,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii
Almora,13365,21296,5478,54686,61669,11428,12887,47402,53453,7951,7340,14526,120912,15487
Bageshwar,11949,21669,5519,20459,23076,4337,4891,21642,24406,2813,2596,12169,50595,207
Chamoli,11052,21941,6390,34660,39091,6583,7424,24229,27322,4115,3802,15087,77925,1298
Champawat,12096,27585,6768,23630,26657,4971,5604,23359,26341,2905,2681,16785,63548,153
Dehradun,21958,31147,10313,225324,244103,49636,53773,196495,212869,34613,28320,33638,485765,36108
Haridwar,45672,49953,20980,322574,349457,33718,36528,170173,184355,30483,24940,26906,858285,31538
Nainital,22658,32948,9975,119630,129600,22837,24741,122562,132777,16908,13833,23917,288975,5855
Pauri Garhwal,11158,22707,5760,55657,62764,12112,13660,56013,60681,9267,8554,14595,138980,1198
Pithoragarh,9542,20545,5205,31217,35203,9981,11256,42540,47970,5782,5337,16780,88322,1315
Rudraprayag,13705,23015,5336,19608,22112,3493,3939,16018,18063,2015,2183,13760,50715,860
Tehri Garhwal,11970,24402,6105,56782,64031,8575,9670,51280,57827,6006,5545,15340,134090,1042
Udham Singh Nagar,49500,56251,25780,358116,387959,45938,49768,176988,191736,27047,22129,34805,817540,39204
Uttarkashi,17505,31070,9416,42788,48251,5450,6146,26834,30170,2403,2218,20975,90870,4652
