district,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s
Almora,34538,16514,34538,16514
Bageshwar,12020,5765,12020,5765
Chamoli,21218,7939,21218,7939
Champawat,14295,11835,14295,11835
Dehradun,40869,53964,36485,47825
Haridwar,116619,150162,96324,128524
Nainital,58387,57995.00000000001,49452,72852
Pauri Garhwal,32924,6211,32924,6211
Pithoragarh,33139,21785,33139,21785
Rudraprayag,14212,4235,14212,4235
Tehri Garhwal,42565,19820,42565,19820
Udham Singh Nagar,145492,344482,12850,298528
Uttarkashi,36011,25370,36011,25370
