district,period,agriculture_npa__agri_npa_accounts,agriculture_npa__agri_npa_amt,agriculture_npa__agri_npa_pct_accounts,agriculture_npa__agri_npa_pct_amt,agriculture_npa__agri_os_accounts,agriculture_npa__agri_os_amt,aif__aif_achievement_pct,aif__aif_cumulative_disbursed_amt,aif__aif_cumulative_disbursed_no,aif__aif_cumulative_sanctions_amt,aif__aif_cumulative_sanctions_no,aif__aif_target_amt,aif__aif_target_no,apamvm__apamvm_pending,apamvm__apamvm_rejected,apamvm__apamvm_sanctioned,apamvm__apamvm_targets,apy__apy_annual_target,apy__apy_branches,apy__apy_cumulative,apy__apy_opened_fy,bca__bca_active,bca__bca_female,bca__bca_inactive,bca__bca_male,bca__bca_total,branch_network__total_branch,cd_ratio_detailed__advances_rural,cd_ratio_detailed__advances_semi_urban,cd_ratio_detailed__advances_urban,cd_ratio_detailed__deposit_rural,cd_ratio_detailed__deposit_semi_urban,cd_ratio_detailed__deposit_urban,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,education_loan__eduloan_achievement_pct,education_loan__eduloan_priority_ach_accounts,education_loan__eduloan_priority_ach_amt,education_loan__eduloan_priority_target_accounts,education_loan__eduloan_priority_target_amt,education_loan__eduloan_total_ach_accounts,education_loan__eduloan_total_ach_amt,education_loan__eduloan_total_target_accounts,education_loan__eduloan_total_target_amt,kcc__kcc_npa_amt,kcc__kcc_npa_no,kcc__kcc_npa_pct_no,kcc__kcc_os_amt,kcc__kcc_os_no,kcc__kcc_overdue_amt,kcc__kcc_overdue_no,kcc__kcc_overdue_pct_no,msme_npa__msme_npa_accounts,msme_npa__msme_npa_amt,msme_npa__msme_npa_pct,msme_npa__msme_os_accounts,msme_npa__msme_os_amt,mudra__mudra_kishore_accounts,mudra__mudra_kishore_amt,mudra__mudra_shishu_accounts,mudra__mudra_shishu_amt,mudra__mudra_tarun_accounts,mudra__mudra_tarun_amt,mudra__mudra_total_accounts,mudra__mudra_total_disbursed,mudra__mudra_total_sanctioned,nwr__nwr_disb_accounts,nwr__nwr_disb_amt,nwr__nwr_os_accounts,nwr__nwr_os_amt,pm_kisan_kcc__kcc_accounts,pm_kisan_kcc__kcc_amt,pm_kisan_kcc__pm_kisan_beneficiaries,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_aadhaar_seeding_pct,pmjdy__pmjdy_rupay_card_issued,pmjdy__pmjdy_total_accounts,pmjdy__pmjdy_total_deposit,pmjjby__pmjjby_enrolment_current,pmjjby__pmjjby_enrolment_prev,pmjjby__pmjjby_qoq_increase,pmsby__pmsby_enrolment_current,pmsby__pmsby_enrolment_prev,pmsby__pmsby_qoq_increase,pmsvanidhi__pmsvanidhi_applications,pmsvanidhi__pmsvanidhi_disbursed,pmsvanidhi__pmsvanidhi_sanctioned,sc_st_loans__sc_disb_accounts,sc_st_loans__sc_disb_amt,sc_st_loans__sc_os_accounts,sc_st_loans__sc_os_amt,sc_st_loans__st_disb_accounts,sc_st_loans__st_disb_amt,sc_st_loans__st_os_accounts,sc_st_loans__st_os_amt,shg__shg_credit_linked_amt_fy,shg__shg_credit_linked_amt_quarter,shg__shg_credit_linked_no_fy,shg__shg_credit_linked_no_quarter,shg__shg_savings_linked_amt_fy,shg__shg_savings_linked_amt_quarter,shg__shg_savings_linked_no_fy,shg__shg_savings_linked_no_quarter
Ahmednagar,June 2025,58611,148100.0,6.99,9.72,838692,1524400.0,14.63,28181.0,860,38956.0,1029,18000.0,350,2500,49,,,42740,689,222866,6663,6184,1370,2574,7387,8758,769,,,,,,,84.71,4096900.0,4836300.0,,,,,,,,,,,,,,,,,,15114,27400.0,4.0,74584,676100.0,13489,18500.0,9411,3600.0,1682,12900.0,24605,34800.0,35400.0,0,0.0,5,1316.96,563654,479100.0,546132,1577000,92.72,1264000,1701000,90300.0,594000,577000,17000,1478000,1444000,34000,27876,23768,,6264,7900.0,25348,41600.0,9623,10600.0,19883,30100.0,8000.0,8000.0,1949,1949,3500.0,3500.0,1014,1014
Akola,June 2025,54275,42400.0,20.94,10.29,259203,412100.0,11.11,18608.0,186,27551.0,223,11000.0,70,500,15,,,16940,249,100750,2364,3622,609,1066,4078,4688,248,,,,,,,71.23,1235600.0,1734700.0,,,,,,,,,,,,,,,,,,10870,9300.0,3.0,35665,264500.0,3718,4700.0,5957,2300.0,324,2500.0,10006,9400.0,9600.0,0,0.0,8,10.31,250947,249940.0,187035,560000,87.06,427000,644000,22000.0,568000,,577000,682000,672000,10000,21397,17439,,2642,5400.0,21080,41400.0,432,900.0,3479,8200.0,3500.0,3500.0,915,915,100.0,100.0,336,336
Amravati,June 2025,117402,136000.0,34.37,22.16,341543,613400.0,6.35,11380.0,117,18041.0,137,8000.0,55,300,5,,,24855,269,141063,4220,5501,1230,2608,6878,8109,396,,,,,,,77.23,2072900.0,2684100.0,,,,,,,,,,,,,,,,,,14918,20200.0,5.0,45367,418100.0,8376,9900.0,16219,6100.0,713,5700.0,25320,21500.0,21800.0,0,0.0,7,12.84,319144,365890.0,270693,859000,91.46,656000,939000,36700.0,356000,348000,7000,927000,911000,16000,33437,31221,,4563,9400.0,39231,61300.0,2570,3600.0,24328,23500.0,6500.0,6500.0,1775,1775,100.0,100.0,466,466
Aurangabad,June 2025,104429,160000.0,18.39,17.09,567951,936000.0,52.74,28846.0,1936,42178.0,2069,6000.0,60,4955,73,,,28310,320,169165,4431,6070,759,2413,7724,8483,519,,,,,,,88.65,4944100.0,5576800.0,,,,,,,,,,,,,,,,,,,,,,,15033,18400.0,30598,4300.0,1284,9900.0,46929,32500.0,32700.0,1,126.74,8,285.33,417130,422210.0,341054,,,,,,663000,651000,11000,1351000,1330000,20000,65908,51507,,18868,47300.0,84156,178300.0,11196,7600.0,39019,41600.0,7300.0,7300.0,1650,1650,400.0,400.0,11698,11698
Beed,June 2025,119188,146400.0,22.83,25.5,522134,574000.0,26.04,17283.0,159,25221.0,186,10000.0,75,4000,224,,,15080,161,126427,3342,4719,513,2769,6975,7488,231,,,,,,,83.25,1333400.0,1601700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9,7,1155.91,387544,387430.0,370323,1146000,90.59,826000,1265000,76700.0,,,,1071000,1054000,16000,12026,9404,,10714,10800.0,38346,49400.0,2617,3200.0,9827,11800.0,4500.0,4500.0,1226,1226,200.0,200.0,500,500
Bhandara,June 2025,19334,9900.0,13.46,5.82,143603,169700.0,29.85,9400.0,235,13906.0,272,7000.0,140,300,3,,,12125,163,91361,1891,2502,879,707,2330,3209,175,,,,,,,44.4,478100.0,1076800.0,,,,,,,,,,,,,,,,,,5621,8500.0,9.0,23117,93900.0,2758,3400.0,5881,1200.0,225,1800.0,8868,6500.0,6500.0,0,0.0,2,51.2,121024,68770.0,209113,472000,92.41,388000,511000,33100.0,263000,261000,2000,576000,572000,4000,7271,6236,,4777,5200.0,28278,26200.0,1155,1200.0,7545,6500.0,3900.0,3900.0,1041,1041,100.0,100.0,274,274
Buldhana,June 2025,167273,147100.0,33.58,24.6,498120,597800.0,5.03,9174.0,130,13755.0,162,8000.0,90,1480,7,,,18805,242,140544,2885,4949,754,2466,6661,7415,273,,,,,,,80.4,1393000.0,1732500.0,,,,,,,,,,,,,,,,,,7722,12300.0,6.0,27738,191300.0,8259,9900.0,23313,3700.0,496,3600.0,32080,17200.0,17400.0,0,0.0,1,0.06,334914,327610.0,337592,834000,89.11,702000,936000,29700.0,348000,,356000,889000,874000,15000,16036,12677,,3616,4600.0,35734,38700.0,764,1200.0,8042,10400.0,4800.0,4800.0,1224,1224,100.0,100.0,288,288
Chandrapur,June 2025,19620,27900.0,19.79,8.12,99118,343700.0,4.43,7740.0,140,10954.0,148,18000.0,330,300,3,,,20220,217,130761,3083,4214,1159,1180,4235,5394,313,,,,,,,44.47,1195000.0,2687100.0,,,,,,,,,,,,,,,,,,10614,11500.0,5.0,42938,254600.0,4206,4700.0,9734,1800.0,318,2500.0,14261,8900.0,9000.0,1,10.73,2,11.52,155442,176780.0,243668,640000,92.0,497000,695000,41300.0,413000,407000,6000,874000,862000,12000,20579,17973,,2473,7500.0,16681,44100.0,1501,3100.0,10642,20500.0,10700.0,10700.0,3802,3802,6900.0,6900.0,3185,3185
Dhule,June 2025,60746,90700.0,31.91,26.18,190361,346300.0,13.46,8971.0,342,12198.0,391,6000.0,70,300,5,,,12815,143,78780,2744,2511,429,1095,3177,3606,204,,,,,,,80.58,1160900.0,1440700.0,,,,,,,,,,,,,,,,,,8993,7900.0,3.0,29979,238300.0,6572,7400.0,18140,1800.0,397,2900.0,25117,12000.0,12200.0,0,0.0,5,7.52,138692,190700.0,150953,803000,91.56,610000,877000,29900.0,279000,269000,10000,556000,541000,15000,17859,16411,,1134,2800.0,8225,19700.0,2071,3500.0,17509,32200.0,2900.0,2900.0,741,741,100.0,100.0,213,213
Gadchiroli,June 2025,8940,17300.0,21.74,27.05,41119,64000.0,2.32,2347.0,31,3722.0,37,2000.0,15,200,,,,7065,75,54519,1434,1596,322,486,1760,2082,137,,,,,,,36.79,325700.0,885200.0,,,,,,,,,,,,,,,,,,6120,8800.0,19.0,12612,45500.0,993,1100.0,2985,400.0,89,800.0,4070,2200.0,2300.0,0,0.0,0,0.0,54471,30060.0,146114,309000,91.12,245000,339000,22400.0,148000,144000,4000,303000,300000,3000,2954,2516,,1967,5900.0,8967,19600.0,2619,4900.0,14057,25200.0,1200.0,1200.0,694,694,100.0,100.0,198,198
