District,s,Deposit Amount (D),Advance Amount (A),Current C:D Ratio
Baksa,1,78032.99,36874.23,47.25
Barpeta,2,334180.15,207749.83,62.17
Biswanath,32,106637.73,58094.03,54.48
Bongaigaon,3,247103.49,108251.54,43.81
Cachar,4,730089.81,278769.16,38.18
Charaideo,29,70208.31,34778.94,49.54
Chirang,26,102666.67,39743.24,38.71
Darrang,5,147895.28,97019.24,65.6
Dhemaji,6,109733.78,64686.83,58.95
Dhubri,7,238633.71,125204.43,52.47
Dibrugarh,8,829251.78,370005.45,44.62
Dima Hasao,27,69023.17,18499.75,26.8
Goalpara,9,169580.25,71406.19,42.11
Golaghat,10,257522.5,183179.77,71.13
Hailakandi,11,129126.79,47561.91,36.83
Hojai,28,188203.61,70449.43,37.43
Jorhat,12,516748.14,281106.65,54.4
Kamrup Metro,13,608436.93,411513.56,67.63
Karbi Anglong,15,166269.94,71111.78,42.77
Karimganj,16,301820.69,96875.41,32.1
Kokrajhar,17,223276.95,65790.32,29.47
Lakhimpur,18,221312.59,147664.34,66.72
Majuli,33,27591.32,13063.73,47.35
Morigaon,22,137715.59,99769.79,72.45
Nagaon,23,452850.88,286106.61,63.18
Nalbari,25,218418.84,113220.97,51.84
Sivasagar,24,392814.72,195803.7,49.85
Sonitpur,19,431357.49,248434.16,57.59
South Salmara,31,18089.42,6527.05,36.08
Tinsukia,20,540807.85,256403.92,47.41
Udalguri,21,99718.56,67985.51,68.18
West Karbi Anglong,30,32093.13,22785.88,71
